Member_ID,Gender,Age,Locker_Rental,Visit_Frequency,Duration_Minutes
MEM_10043,Male,26,No,22,44.0
MEM_02626,Female,44,No,7,33.6
MEM_04609,Female,23,Yes,5,123.5
MEM_13283,Male,43,No,21,114.6
MEM_12472,Male,24,Yes,25,142.6
MEM_11739,Male,45,No,22,95.7
MEM_06661,Male,60,Yes,6,123.7
MEM_13939,Female,18,No,24,118.7
MEM_07359,Male,43,Yes,3,129.7
MEM_03204,Male,52,Yes,2,20.0
MEM_11752,Female,18,No,23,138.7
MEM_06126,Female,29,Yes,10,117.3
MEM_14629,Female,38,Yes,28,88.4
MEM_02678,Male,48,Yes,4,43.5
MEM_03708,Male,58,No,5,23.8
MEM_09987,Male,30,No,26,45.9
MEM_02805,Male,26,No,0,16.0
MEM_01453,Female,42,No,9,37.7
MEM_14421,Male,46,Yes,28,97.7
MEM_09999,Male,50,No,24,43.0
MEM_02319,Male,20,No,2,25.0
MEM_13882,Female,58,No,22,123.1
MEM_12608,Male,19,Yes,22,128.2
MEM_07333,Male,51,Yes,5,139.5
MEM_03651,Female,22,No,5,35.7
MEM_02288,Male,57,No,3,38.2
MEM_03623,Female,22,Yes,4,10.9
MEM_13618,Male,19,No,25,146.2
MEM_04878,Male,27,Yes,7,139.1
MEM_01713,Male,30,Yes,6,22.5
MEM_14505,Female,33,No,20,127.0
MEM_03589,Male,52,No,3,42.1
MEM_09466,Male,62,No,21,14.5
MEM_05155,Female,39,Yes,4,162.3
MEM_12594,Female,20,Yes,22,119.2
MEM_13673,Male,31,No,20,114.3
MEM_03669,Female,56,Yes,5,27.5
MEM_14324,Male,45,Yes,23,111.9
MEM_13524,Female,49,No,26,123.0
MEM_08384,Female,41,No,20,37.3
MEM_14210,Female,51,Yes,28,145.0
MEM_04387,Male,62,Yes,7,123.0
MEM_09123,Male,47,Yes,21,40.8
MEM_07894,Female,22,No,22,50.6
MEM_01489,Female,18,Yes,7,38.4
MEM_01606,Female,63,Yes,4,13.7
MEM_08594,Male,22,No,25,33.4
MEM_08528,Male,54,No,29,36.0
MEM_01402,Female,48,Yes,6,35.2
MEM_09387,Female,35,No,22,56.8
MEM_03519,Male,55,Yes,0,21.7
MEM_03297,Male,35,Yes,2,29.1
MEM_01006,Female,35,No,6,15.0
MEM_02791,Female,53,No,3,10.0
MEM_02704,Male,21,No,4,14.9
MEM_05613,Male,51,Yes,6,126.7
MEM_14030,Female,23,No,23,143.7
MEM_05683,Female,47,No,5,133.2
MEM_12287,Female,39,No,25,108.6
MEM_05400,Male,27,Yes,7,117.0
MEM_02357,Female,38,No,4,21.4
MEM_14680,Female,21,Yes,24,159.9
MEM_00290,Male,58,No,4,32.0
MEM_12534,Female,51,Yes,22,154.2
MEM_05908,Female,29,Yes,9,171.1
MEM_13818,Male,55,No,22,116.4
MEM_06594,Male,43,Yes,7,128.0
MEM_00088,Female,48,No,3,20.3
MEM_12998,Female,40,Yes,28,86.0
MEM_02232,Female,51,No,0,49.9
MEM_08273,Male,64,No,24,57.1
MEM_09322,Female,54,No,14,17.8
MEM_07964,Female,50,No,23,45.3
MEM_09037,Male,64,Yes,26,20.6
MEM_11408,Male,26,No,25,105.0
MEM_08391,Male,63,No,22,20.4
MEM_11749,Female,52,Yes,28,103.2
MEM_01056,Female,42,No,4,22.6
MEM_00903,Female,26,Yes,7,36.2
MEM_14220,Male,26,Yes,24,138.3
MEM_13626,Female,54,Yes,22,89.9
MEM_02039,Female,58,No,0,30.9
MEM_01611,Female,29,Yes,1,31.1
MEM_14519,Male,48,No,27,112.3
MEM_00736,Male,29,Yes,5,34.2
MEM_05963,Male,56,No,5,107.9
MEM_11875,Female,54,Yes,18,129.4
MEM_07308,Female,26,Yes,5,115.4
MEM_09052,Male,23,No,16,28.4
MEM_06177,Female,25,Yes,6,131.7
MEM_13555,Female,21,Yes,20,89.2
MEM_02864,Female,62,Yes,5,37.7
MEM_10056,Male,32,No,24,55.9
MEM_01418,Female,55,Yes,7,22.3
MEM_05914,Male,41,No,5,127.5
MEM_04148,Male,36,Yes,3,134.2
MEM_13109,Male,27,No,27,131.8
MEM_13685,Male,28,No,28,116.1
MEM_01010,Female,40,No,7,17.3
MEM_08634,Male,55,No,18,37.1
MEM_07588,Male,49,Yes,20,30.2
MEM_04189,Male,47,No,5,156.1
MEM_14953,Female,34,No,25,83.2
MEM_10528,Female,23,Yes,21,41.3
MEM_09824,Female,23,No,28,55.8
MEM_05145,Male,56,Yes,10,162.2
MEM_08937,Male,48,No,16,47.9
MEM_09615,Male,19,No,20,23.8
MEM_08700,Female,22,No,28,27.2
MEM_03800,Male,52,No,7,134.4
MEM_10381,Male,36,No,22,32.3
MEM_03745,Male,25,No,4,25.0
MEM_09073,Male,53,No,19,28.6
MEM_11361,Female,55,Yes,25,134.3
MEM_08048,Male,19,No,18,45.7
MEM_01385,Male,62,No,5,30.5
MEM_10182,Female,32,Yes,27,31.4
MEM_04872,Female,26,No,5,140.8
MEM_00735,Female,29,Yes,5,14.1
MEM_05712,Male,49,No,6,132.6
MEM_05422,Female,47,No,7,119.6
MEM_04012,Male,26,No,4,116.6
MEM_02858,Female,40,No,6,22.1
MEM_09896,Female,45,No,22,40.9
MEM_04536,Male,26,No,6,124.8
MEM_04580,Female,40,No,6,155.2
MEM_07655,Male,42,No,22,33.9
MEM_05998,Female,48,No,5,132.4
MEM_00884,Male,40,Yes,5,23.2
MEM_09026,Female,61,Yes,18,50.2
MEM_03233,Male,51,No,8,23.3
MEM_05601,Male,18,Yes,7,100.9
MEM_02417,Male,21,No,5,28.5
MEM_05358,Female,23,No,9,130.2
MEM_11009,Male,23,No,20,28.6
MEM_04948,Female,57,Yes,6,136.4
MEM_05933,Female,53,Yes,4,138.1
MEM_02919,Female,35,Yes,7,37.0
MEM_10838,Female,61,No,31,46.8
MEM_05598,Female,57,Yes,7,132.0
MEM_03698,Male,36,Yes,6,42.4
MEM_12167,Female,30,Yes,28,106.7
MEM_09955,Female,21,Yes,26,45.3
MEM_14084,Male,36,No,25,120.4
MEM_06880,Male,47,No,8,127.9
MEM_09158,Male,57,Yes,16,56.7
MEM_10216,Female,51,No,27,23.6
MEM_04401,Female,41,Yes,5,105.1
MEM_10804,Male,61,No,20,47.0
MEM_05931,Female,27,Yes,3,150.8
MEM_01522,Female,33,No,4,18.0
MEM_11306,Female,38,No,28,110.4
MEM_02562,Male,54,No,2,17.6
MEM_02128,Female,52,Yes,5,21.8
MEM_01086,Male,61,No,6,25.3
MEM_01962,Male,28,Yes,5,38.6
MEM_05620,Female,24,No,3,136.3
MEM_14990,Female,32,Yes,28,115.6
MEM_12837,Male,46,No,22,66.4
MEM_03065,Female,40,Yes,5,31.8
MEM_12722,Male,58,No,26,116.4
MEM_13286,Female,33,No,24,123.5
MEM_03615,Female,64,No,5,37.6
MEM_11373,Male,38,No,23,139.9
MEM_12363,Female,51,Yes,22,129.5
MEM_08290,Female,61,Yes,27,33.3
MEM_09068,Male,28,No,25,28.1
MEM_01346,Female,46,No,0,38.9
MEM_08769,Male,37,Yes,18,58.2
MEM_11193,Male,43,No,18,38.3
MEM_03570,Male,18,No,3,36.4
MEM_01121,Male,34,Yes,6,43.6
MEM_01533,Female,46,No,4,36.0
MEM_02943,Male,48,Yes,4,34.7
MEM_11828,Male,42,Yes,20,130.7
MEM_09360,Female,43,Yes,26,39.3
MEM_07012,Female,40,Yes,5,111.1
MEM_06888,Male,27,No,5,132.1
MEM_11336,Female,50,No,23,152.0
MEM_12464,Female,36,Yes,18,144.4
MEM_14942,Female,40,Yes,23,83.0
MEM_04245,Female,59,No,10,142.2
MEM_01632,Female,46,No,3,20.9
MEM_04062,Female,30,No,6,106.3
MEM_09375,Male,35,Yes,21,44.1
MEM_13009,Male,53,No,27,155.9
MEM_11887,Female,40,Yes,17,117.4
MEM_12459,Male,51,No,25,127.7
MEM_05767,Male,62,No,8,145.4
MEM_03014,Female,26,No,3,10.0
MEM_10471,Female,26,No,18,40.3
MEM_03728,Female,47,Yes,2,49.2
MEM_13317,Female,49,No,22,130.6
MEM_03852,Female,51,No,7,161.1
MEM_06161,Female,57,No,8,141.6
MEM_00099,Male,61,No,4,15.7
MEM_12061,Male,20,Yes,26,111.7
MEM_08122,Female,24,Yes,22,46.2
MEM_14315,Male,56,Yes,29,118.2
MEM_11820,Female,40,Yes,26,112.8
MEM_08373,Female,41,No,23,48.6
MEM_01035,Female,49,No,7,26.9
MEM_14617,Male,22,No,26,97.0
MEM_01744,Male,60,Yes,2,34.3
MEM_04896,Female,26,No,2,165.7
MEM_10475,Male,46,No,23,29.0
MEM_04010,Male,62,Yes,9,150.2
MEM_03919,Male,37,No,6,146.8
MEM_01586,Female,49,No,4,24.9
MEM_08900,Male,35,No,21,35.6
MEM_04665,Male,19,No,7,143.2
MEM_09604,Female,29,Yes,27,37.5
MEM_06550,Female,29,No,10,135.7
MEM_00286,Male,45,No,4,35.2
MEM_13775,Male,25,No,24,113.9
MEM_13463,Male,24,No,25,95.6
MEM_14749,Female,28,No,23,124.5
MEM_10949,Female,47,Yes,19,30.4
MEM_13324,Male,55,No,26,170.1
MEM_14438,Female,53,Yes,25,124.8
MEM_01623,Female,43,No,3,29.3
MEM_13413,Male,45,Yes,20,144.5
MEM_00351,Male,41,No,7,22.2
MEM_14353,Male,22,Yes,27,109.0
MEM_03616,Female,60,Yes,2,47.3
MEM_00566,Female,41,Yes,0,18.7
MEM_00914,Male,43,Yes,4,37.2
MEM_04549,Male,45,No,8,120.7
MEM_05781,Female,50,Yes,8,131.6
MEM_02957,Female,25,No,4,30.3
MEM_09224,Female,56,No,25,47.4
MEM_07834,Male,27,No,14,32.5
MEM_11001,Male,29,Yes,18,25.5
MEM_13958,Female,39,No,22,105.3
MEM_07743,Female,33,No,24,29.6
MEM_01579,Male,42,No,2,12.5
MEM_13887,Male,22,No,24,92.4
MEM_01398,Female,49,No,6,37.5
MEM_01530,Male,26,No,4,23.6
MEM_13880,Female,47,No,30,86.8
MEM_07793,Male,61,No,19,38.9
MEM_05350,Female,43,Yes,5,153.8
MEM_01624,Female,20,No,8,34.3
MEM_02525,Male,47,No,5,30.8
MEM_02227,Male,35,No,3,36.2
MEM_00487,Female,44,No,2,26.5
MEM_03289,Female,58,Yes,3,22.2
MEM_12692,Male,27,No,25,131.2
MEM_00379,Male,62,No,2,46.6
MEM_11275,Female,28,No,31,91.3
MEM_02968,Male,55,No,0,47.4
MEM_05040,Female,22,Yes,2,112.8
MEM_14593,Female,21,No,29,115.5
MEM_07305,Female,37,No,5,116.8
MEM_00357,Male,31,Yes,3,43.6
MEM_10157,Male,23,Yes,26,29.5
MEM_08299,Male,47,No,28,43.0
MEM_10875,Female,19,Yes,14,46.3
MEM_00047,Male,55,Yes,6,
MEM_06312,Male,24,No,8,135.8
MEM_11656,Male,63,No,30,141.8
MEM_13567,Male,52,No,20,88.5
MEM_00708,Female,51,No,0,14.5
MEM_06298,Male,50,No,7,159.7
MEM_03954,Female,46,No,4,178.8
MEM_00836,Male,28,Yes,7,40.2
MEM_11544,Male,22,No,26,117.6
MEM_02342,Female,46,No,5,28.4
MEM_05729,Female,18,No,8,142.5
MEM_12130,Female,36,Yes,22,137.9
MEM_12436,Female,36,No,29,119.4
MEM_07541,Female,37,Yes,17,55.3
MEM_07403,Male,26,No,1,125.1
MEM_06338,Female,36,No,8,127.0
MEM_04960,Female,35,No,6,99.3
MEM_12360,Male,25,No,23,120.5
MEM_13619,Female,24,No,23,93.2
MEM_14570,Female,60,No,23,170.2
MEM_10368,Female,33,Yes,17,44.7
MEM_12587,Male,26,No,25,119.9
MEM_04391,Female,39,No,5,170.6
MEM_08132,Male,56,No,12,38.9
MEM_13436,Female,62,Yes,26,114.4
MEM_04900,Male,21,Yes,4,145.1
MEM_08607,Male,28,Yes,25,40.2
MEM_06081,Male,62,Yes,4,111.4
MEM_07013,Male,50,No,9,119.9
MEM_04058,Male,26,No,9,132.4
MEM_06769,Male,48,No,10,113.3
MEM_04921,Female,26,Yes,9,
MEM_10990,Male,53,Yes,16,33.6
MEM_11492,Female,58,No,27,172.9
MEM_08683,Male,29,No,19,45.7
MEM_04315,Female,64,No,6,144.1
MEM_04743,Male,18,No,5,148.4
MEM_13929,Male,54,Yes,24,134.5
MEM_03838,Male,33,Yes,7,197.6
MEM_01254,Female,46,No,6,37.3
MEM_04755,Male,59,Yes,5,115.8
MEM_01475,Male,57,No,5,19.3
MEM_14382,Female,63,No,21,110.3
MEM_12314,Female,21,No,23,90.7
MEM_13924,Male,24,Yes,23,134.1
MEM_04866,Female,57,No,3,125.0
MEM_11156,Male,29,No,18,34.9
MEM_14342,Male,63,No,27,104.5
MEM_11094,Female,55,No,22,28.1
MEM_03938,Male,40,No,6,137.4
MEM_10663,Female,35,No,13,44.9
MEM_00304,Male,49,Yes,4,19.8
MEM_02323,Male,38,No,7,34.5
MEM_08993,Male,27,No,20,
MEM_10915,Male,63,Yes,18,49.9
MEM_14412,Female,43,No,25,156.2
MEM_06486,Male,20,Yes,8,132.2
MEM_14472,Male,60,Yes,20,123.6
MEM_13217,Female,41,No,28,102.0
MEM_11792,Male,37,No,27,159.6
MEM_06259,Male,19,Yes,8,128.0
MEM_01739,Female,63,No,7,26.2
MEM_13156,Female,36,No,26,139.5
MEM_12669,Female,47,Yes,22,127.7
MEM_06580,Male,52,No,4,115.6
MEM_13993,Female,41,No,27,145.2
MEM_03274,Female,62,No,2,41.4
MEM_10845,Female,58,Yes,24,56.2
MEM_02167,Female,45,No,1,11.3
MEM_01393,Male,36,Yes,4,25.9
MEM_05524,Male,61,Yes,5,132.7
MEM_02543,Male,25,No,3,34.4
MEM_12801,Female,53,No,24,124.3
MEM_07520,Female,46,No,25,40.4
MEM_06006,Male,63,Yes,8,147.7
MEM_01270,Female,48,No,6,29.4
MEM_02140,Female,32,No,4,27.7
MEM_13549,Male,20,No,28,131.0
MEM_06803,Male,51,No,3,101.1
MEM_13561,Female,22,No,24,96.3
MEM_06264,Male,47,No,8,130.8
MEM_14711,Male,32,No,22,80.7
MEM_06786,Female,31,Yes,8,141.9
MEM_09942,Female,25,No,22,54.3
MEM_06904,Female,36,No,4,116.5
MEM_11709,Female,57,Yes,18,146.8
MEM_11274,Male,19,Yes,23,95.0
MEM_08934,Female,52,No,16,41.5
MEM_14784,Female,57,No,27,125.8
MEM_08598,Female,43,Yes,17,39.9
MEM_14468,Male,58,Yes,22,132.3
MEM_07944,Male,50,Yes,19,30.3
MEM_02390,Female,45,No,0,25.2
MEM_09483,Female,28,Yes,18,60.3
MEM_07063,Female,49,Yes,6,124.9
MEM_09559,Male,18,No,19,61.3
MEM_13918,Male,59,Yes,24,147.3
MEM_09931,Male,39,Yes,29,43.2
MEM_07042,Female,40,No,6,130.8
MEM_12520,Male,44,No,23,136.6
MEM_12404,Male,55,No,24,113.6
MEM_08215,Female,31,No,19,58.2
MEM_06051,Female,58,No,7,133.4
MEM_06977,Female,47,No,3,108.9
MEM_13301,Female,38,Yes,22,122.8
MEM_06270,Female,61,No,9,136.0
MEM_07453,Male,43,No,6,114.9
MEM_07271,Female,59,No,3,147.2
MEM_12368,Male,22,Yes,20,149.2
MEM_04123,Female,22,No,4,110.6
MEM_01139,Male,21,No,5,36.4
MEM_05292,Female,49,Yes,7,163.7
MEM_07747,Female,44,No,17,40.2
MEM_12714,Male,34,No,22,91.0
MEM_10263,Male,59,Yes,28,47.9
MEM_11273,Female,31,No,22,103.8
MEM_05528,Female,36,Yes,5,118.3
MEM_00828,Male,46,No,3,24.3
MEM_14682,Male,47,No,28,122.2
MEM_03753,Female,39,No,6,143.6
MEM_07640,Female,56,Yes,24,39.5
MEM_12036,Female,18,Yes,18,115.6
MEM_12214,Male,25,No,24,121.6
MEM_01261,Male,60,No,4,37.3
MEM_04441,Male,54,No,5,145.8
MEM_08581,Male,40,Yes,18,42.9
MEM_07247,Male,46,Yes,8,81.6
MEM_11623,Male,53,No,24,102.6
MEM_09820,Female,54,No,21,30.2
MEM_11513,Female,63,Yes,30,152.4
MEM_14427,Male,56,Yes,23,159.9
MEM_02589,Female,48,Yes,4,29.5
MEM_14004,Female,36,Yes,26,107.5
MEM_07324,Male,59,No,5,157.1
MEM_09403,Male,44,Yes,22,42.4
MEM_11843,Male,62,Yes,24,89.7
MEM_05406,Female,57,Yes,7,128.7
MEM_02802,Male,21,No,5,34.0
MEM_06423,Female,52,No,7,163.7
MEM_05794,Female,62,Yes,9,158.8
MEM_02684,Male,41,Yes,5,31.4
MEM_09902,Male,56,No,27,37.7
MEM_08817,Male,63,Yes,21,44.9
MEM_03307,Male,27,Yes,5,29.7
MEM_13898,Male,31,No,25,102.0
MEM_04862,Female,55,Yes,6,140.4
MEM_09737,Female,31,No,24,55.0
MEM_00476,Male,50,Yes,5,48.7
MEM_11396,Female,55,Yes,19,121.0
MEM_04561,Female,33,Yes,11,103.5
MEM_08196,Female,21,No,21,34.0
MEM_02009,Female,26,Yes,6,38.5
MEM_04115,Female,51,Yes,4,130.6
MEM_09594,Male,42,Yes,23,56.1
MEM_08788,Female,35,No,23,52.2
MEM_04706,Female,28,Yes,8,146.7
MEM_00339,Female,57,No,3,26.1
MEM_03804,Male,27,No,8,110.1
MEM_07514,Female,45,Yes,25,49.4
MEM_01683,Female,33,No,5,26.5
MEM_04984,Male,43,No,3,108.8
MEM_00794,Male,46,Yes,2,33.7
MEM_10041,Female,57,No,19,40.2
MEM_14442,Male,28,Yes,22,92.0
MEM_10309,Female,62,Yes,23,40.6
MEM_01034,Male,33,No,3,57.6
MEM_01454,Male,61,No,5,53.8
MEM_11146,Male,27,No,22,35.4
MEM_01534,Female,40,No,3,46.2
MEM_08929,Male,39,No,17,30.4
MEM_09353,Male,52,No,18,43.5
MEM_07484,Male,19,No,6,96.9
MEM_10327,Male,58,No,25,43.9
MEM_05049,Female,32,Yes,8,153.2
MEM_03098,Female,53,No,4,55.3
MEM_00168,Female,49,No,4,39.5
MEM_09841,Male,62,Yes,29,32.7
MEM_01493,Female,40,No,4,36.5
MEM_07058,Female,42,No,5,110.9
MEM_09089,Female,32,No,29,42.6
MEM_02966,Male,32,No,5,40.5
MEM_00434,Male,23,No,7,25.2
MEM_13844,Male,34,Yes,23,132.9
MEM_13997,Female,42,Yes,25,116.6
MEM_10840,Female,47,No,22,37.2
MEM_04313,Male,24,No,8,161.4
MEM_11814,Female,39,Yes,29,109.1
MEM_13441,Female,20,No,23,97.3
MEM_04077,Male,59,Yes,6,139.4
MEM_14562,Male,45,No,26,112.1
MEM_13393,Female,20,No,22,135.6
MEM_03780,Male,34,No,9,172.7
MEM_05386,Male,33,No,6,137.4
MEM_07534,Male,28,No,18,37.2
MEM_00925,Male,56,Yes,1,20.4
MEM_09102,Male,36,No,20,43.0
MEM_07336,Male,38,No,6,135.3
MEM_13572,Female,37,Yes,25,113.2
MEM_11097,Female,31,No,20,37.5
MEM_09100,Male,45,No,24,32.3
MEM_01107,Male,43,Yes,2,39.5
MEM_01053,Male,29,No,5,22.9
MEM_08606,Male,39,No,22,37.1
MEM_04215,Female,33,No,5,96.6
MEM_13829,Female,40,Yes,27,109.4
MEM_10896,Female,41,No,25,54.6
MEM_01022,Male,21,No,4,36.5
MEM_14701,Female,24,Yes,24,119.4
MEM_10673,Male,42,Yes,27,43.8
MEM_06669,Female,50,No,6,171.7
MEM_05025,Male,34,No,3,143.1
MEM_08603,Male,55,No,20,33.5
MEM_06077,Male,58,No,5,139.9
MEM_02512,Male,38,Yes,5,28.4
MEM_04244,Female,30,No,5,147.5
MEM_06421,Male,60,Yes,8,136.5
MEM_02201,Female,51,No,4,30.3
MEM_07821,Male,54,Yes,23,43.7
MEM_14006,Female,25,No,17,116.0
MEM_07978,Male,35,No,28,47.2
MEM_04513,Female,58,Yes,6,146.9
MEM_04672,Female,59,Yes,5,89.3
MEM_12527,Female,63,Yes,25,112.3
MEM_09750,Male,47,Yes,15,65.1
MEM_00468,Female,25,No,3,33.2
MEM_03369,Female,44,No,4,36.9
MEM_13152,Female,48,Yes,29,135.4
MEM_11103,Male,31,No,23,45.1
MEM_13778,Female,32,Yes,24,111.8
MEM_13408,Female,33,Yes,27,115.5
MEM_04978,Female,42,Yes,7,140.7
MEM_13137,Male,21,No,27,114.2
MEM_06282,Female,55,Yes,7,123.6
MEM_06597,Female,44,No,9,148.4
MEM_03479,Female,43,No,7,36.6
MEM_12879,Male,34,Yes,26,155.6
MEM_05792,Male,33,Yes,8,141.0
MEM_14074,Female,61,No,24,97.3
MEM_13215,Female,20,No,24,111.2
MEM_06725,Female,61,No,4,164.0
MEM_05195,Female,26,Yes,6,152.2
MEM_00518,Male,62,No,4,18.8
MEM_00439,Male,42,No,4,29.4
MEM_02861,Male,20,No,5,39.6
MEM_11144,Male,56,Yes,20,46.4
MEM_11285,Male,50,Yes,30,126.0
MEM_12572,Male,44,No,21,132.3
MEM_14381,Female,49,No,24,162.3
MEM_09938,Female,64,No,20,36.4
MEM_14481,Female,63,No,28,115.2
MEM_08382,Male,26,Yes,19,49.2
MEM_10109,Male,27,No,23,29.5
MEM_02380,Female,23,No,2,33.0
MEM_00027,Female,41,Yes,5,17.7
MEM_11626,Male,33,Yes,26,108.4
MEM_06955,Female,43,Yes,5,86.1
MEM_00902,Male,44,No,4,30.5
MEM_05035,Male,51,No,6,99.3
MEM_04851,Male,41,Yes,4,123.4
MEM_13789,Female,31,No,22,90.6
MEM_02608,Male,35,No,6,10.2
MEM_11965,Male,24,Yes,22,110.4
MEM_09232,Female,58,Yes,17,35.8
MEM_12193,Female,61,Yes,24,91.1
MEM_02531,Male,48,No,2,31.9
MEM_03702,Male,48,Yes,2,19.4
MEM_12848,Male,43,No,24,96.1
MEM_02109,Female,26,No,5,23.7
MEM_11413,Female,27,No,25,115.1
MEM_06220,Male,18,Yes,4,154.2
MEM_02344,Male,18,Yes,0,30.7
MEM_14665,Male,30,Yes,27,84.5
MEM_07883,Female,19,No,18,20.7
MEM_11318,Female,55,No,23,113.0
MEM_08085,Female,33,Yes,26,30.0
MEM_02412,Male,54,No,2,17.5
MEM_12926,Male,24,No,29,116.1
MEM_01061,Male,57,Yes,0,10.9
MEM_06586,Female,38,No,4,157.5
MEM_02715,Female,64,No,0,38.1
MEM_14874,Female,41,No,22,84.5
MEM_07095,Male,26,Yes,6,94.1
MEM_05384,Male,19,No,3,132.7
MEM_12132,Female,45,Yes,26,123.1
MEM_03508,Male,48,No,5,24.2
MEM_11988,Male,55,No,27,116.6
MEM_05337,Female,27,Yes,10,118.0
MEM_09295,Male,62,Yes,22,42.7
MEM_05221,Male,56,No,9,125.7
MEM_07990,Male,26,Yes,18,48.6
MEM_06790,Female,37,No,3,102.3
MEM_03143,Female,31,No,3,34.5
MEM_14719,Female,49,Yes,28,80.4
MEM_05465,Male,27,No,8,117.5
MEM_03860,Female,56,Yes,6,156.6
MEM_05453,Female,22,No,5,105.5
MEM_08957,Female,37,No,16,26.0
MEM_14157,Male,64,Yes,27,140.2
MEM_02012,Male,32,No,2,20.2
MEM_05863,Female,37,No,2,112.7
MEM_06842,Female,39,No,6,139.8
MEM_00123,Male,44,Yes,1,15.2
MEM_11562,Female,58,Yes,22,145.4
MEM_10657,Female,24,Yes,27,53.4
MEM_02932,Female,35,No,2,37.2
MEM_12406,Male,24,No,23,111.6
MEM_11262,Female,52,No,23,106.6
MEM_08124,Male,38,No,21,56.8
MEM_00273,Female,54,No,4,37.8
MEM_03562,Female,25,Yes,0,32.2
MEM_03038,Male,32,No,2,19.0
MEM_03647,Male,58,No,4,31.4
MEM_02629,Female,49,No,3,30.7
MEM_09292,Male,51,No,23,43.5
MEM_05980,Female,48,No,3,172.2
MEM_04817,Male,19,No,7,138.3
MEM_02609,Male,40,No,7,15.0
MEM_11957,Female,63,No,31,80.8
MEM_04850,Male,25,No,5,117.0
MEM_03646,Male,60,Yes,5,43.9
MEM_14698,Male,23,No,24,134.1
MEM_04630,Female,22,No,6,169.2
MEM_08225,Female,41,No,19,39.6
MEM_14040,Female,30,No,21,138.9
MEM_10306,Female,29,Yes,22,44.8
MEM_10728,Male,60,No,25,36.8
MEM_10734,Male,63,Yes,21,59.0
