Record_ID,Temperature,Humidity,Wind_Speed,Season,Is_Holiday,Rental_Count
REC_00037,-4.6,55.3,1.6,Fall,No,76
REC_00038,1.7,69.3,5.1,Fall,No,231
REC_00039,17.0,89.8,1.5,Summer,No,266
REC_00040,22.4,61.9,2.8,Spring,No,213
REC_00041,16.7,56.7,0.7,Summer,No,803
REC_00042,13.8,,1.6,Spring,No,389
REC_00043,12.0,61.9,7.9,Summer,No,254
REC_00044,0.2,47.6,2.5,Spring,No,257
REC_00045,7.8,61.8,7.0,Winter,No,10
REC_00046,10.4,66.8,7.0,Fall,No,317
REC_00047,25.6,63.1,8.7,Summer,No,605
REC_00048,18.4,66.9,6.8,Spring,No,442
REC_00049,-2.6,66.5,0.0,Spring,No,10
REC_00050,18.2,33.4,8.2,Spring,No,631
REC_00051,11.1,69.6,0.4,Winter,No,10
REC_00052,8.2,49.9,0.1,Spring,No,190
REC_00053,21.1,43.6,0.2,Fall,Yes,1236
REC_00054,25.3,43.4,1.3,Winter,No,580
REC_00055,24.3,66.5,2.9,Spring,No,284
REC_00056,6.6,56.7,1.5,Fall,No,648
REC_00057,11.9,34.8,0.1,Spring,No,701
REC_00058,18.3,67.2,1.9,Fall,No,511
REC_00059,24.8,38.4,1.8,Fall,No,1071
REC_00060,10.2,62.1,4.2,Spring,No,15
REC_00061,13.1,63.6,1.0,Fall,No,607
REC_00062,3.9,73.3,0.7,Summer,Yes,635
REC_00063,3.0,86.7,0.9,Spring,No,10
REC_00064,23.1,,1.1,Summer,No,867
REC_00065,28.6,59.2,2.7,Fall,No,1214
REC_00066,14.3,55.9,1.9,Winter,No,117
REC_00067,25.0,66.5,1.2,Winter,No,139
REC_00068,18.6,63.2,1.4,Fall,No,704
REC_00069,8.5,54.7,1.4,Summer,No,568
REC_00070,18.6,53.4,10.8,Spring,No,521
REC_00071,30.4,43.3,0.8,Winter,No,751
REC_00072,14.6,74.8,5.1,Summer,No,651
REC_00073,30.6,66.9,3.7,Winter,Yes,776
REC_00074,-11.2,73.8,0.0,Winter,No,10
REC_00075,23.2,55.3,15.0,Fall,No,922
REC_00076,15.9,50.1,4.2,Spring,No,711
REC_00077,12.0,43.8,3.4,Summer,No,429
REC_00078,15.9,65.4,1.6,Summer,No,419
REC_00079,-4.9,44.4,2.4,Spring,Yes,120
REC_00080,12.8,87.7,0.9,Summer,No,195
REC_00081,18.6,40.4,0.1,Winter,No,386
REC_00082,29.8,64.1,5.4,Spring,No,530
REC_00083,9.8,83.5,6.8,Winter,Yes,27
REC_00084,6.9,,0.5,Winter,No,10
REC_00085,10.0,62.6,4.6,Winter,No,10
REC_00086,24.2,45.5,4.1,Spring,No,879
REC_00087,18.3,39.3,0.6,Summer,No,703
REC_00088,9.7,71.6,1.6,Winter,No,10
REC_00089,20.1,82.6,1.6,Spring,No,365
REC_00090,16.0,53.4,4.3,Spring,No,362
REC_00091,24.7,42.9,5.5,Fall,No,1209
REC_00092,8.0,23.1,0.3,Fall,No,929
REC_00093,11.7,45.3,2.5,Fall,No,398
REC_00094,11.1,58.3,4.3,Summer,No,533
REC_00095,0.4,84.0,4.6,Summer,No,38
REC_00096,18.0,70.1,0.5,Summer,No,637
REC_00097,17.6,64.6,2.2,Summer,No,660
REC_00098,15.1,54.0,5.8,Winter,No,10
REC_00099,12.7,51.3,1.2,Spring,No,278
REC_00100,0.8,81.1,1.7,Spring,No,10
REC_00101,10.8,63.0,4.9,Fall,No,558
REC_00102,11.6,28.5,0.3,Spring,No,693
REC_00103,7.0,49.9,5.9,Summer,No,207
REC_00104,13.4,47.1,1.1,Spring,No,334
REC_00105,19.0,51.8,0.0,Winter,No,10
REC_00106,33.9,68.4,0.8,Winter,Yes,918
REC_00107,16.7,58.4,0.3,Fall,No,654
REC_00108,17.6,58.8,0.3,Summer,No,540
REC_00109,14.3,79.7,3.5,Spring,No,339
REC_00110,-4.2,49.6,0.7,Fall,No,257
REC_00111,14.7,88.0,8.2,Spring,No,10
REC_00112,15.6,49.9,2.2,Fall,Yes,1261
REC_00113,39.6,61.3,1.8,Fall,No,1561
REC_00114,13.1,55.8,1.7,Winter,No,10
REC_00115,18.0,61.9,3.5,Winter,Yes,284
REC_00116,14.7,66.7,1.8,Winter,No,10
REC_00117,3.3,66.5,0.4,Fall,No,81
REC_00118,26.4,48.7,6.4,Winter,No,269
REC_00119,22.5,43.2,1.7,Winter,Yes,485
REC_00120,22.9,97.5,0.2,Summer,No,497
REC_00121,5.9,52.7,2.3,Spring,No,38
REC_00122,29.0,70.5,3.1,Spring,No,649
REC_00123,1.0,35.9,1.0,Summer,No,314
REC_00124,20.9,55.8,4.8,Summer,No,731
REC_00125,36.9,58.1,3.3,Winter,No,207
REC_00126,5.1,67.1,3.2,Winter,No,10
REC_00127,9.3,19.2,1.6,Spring,No,522
REC_00128,16.0,62.5,9.8,Summer,No,419
REC_00129,10.0,42.8,1.0,Summer,No,330
REC_00130,-0.5,64.9,2.6,Winter,No,10
REC_00131,15.7,44.5,1.1,Spring,No,704
REC_00132,4.4,47.2,4.1,Fall,No,427
REC_00133,19.7,55.9,0.1,Summer,No,573
REC_00134,5.8,44.2,0.1,Spring,No,129
REC_00135,30.5,52.9,5.0,Spring,Yes,1297
REC_00136,7.2,42.1,1.7,Spring,No,355
REC_00137,11.8,32.5,1.3,Summer,No,713
REC_00138,23.1,75.3,2.8,Fall,No,692
REC_00139,2.7,40.6,3.6,Winter,No,10
REC_00140,17.3,57.3,0.7,Fall,No,726
REC_00141,28.1,71.3,0.6,Spring,No,564
REC_00142,-1.1,50.8,9.5,Summer,No,80
REC_00143,16.8,47.6,2.7,Summer,No,684
REC_00144,17.6,63.4,1.5,Fall,No,865
REC_00145,22.8,76.8,4.9,Fall,No,810
REC_00146,2.6,42.5,2.2,Summer,No,312
REC_00147,1.8,57.7,0.8,Fall,No,354
REC_00148,20.2,34.0,0.7,Winter,No,212
REC_00149,18.0,54.1,1.5,Winter,Yes,465
REC_00150,17.5,60.5,5.9,Winter,No,10
REC_00151,18.5,47.2,0.2,Spring,No,343
REC_00152,8.2,53.1,0.7,Fall,No,569
REC_00153,17.3,38.9,6.7,Summer,No,536
REC_00154,17.9,61.2,0.4,Spring,No,292
REC_00155,7.9,75.8,3.0,Summer,No,10
REC_00156,33.7,43.5,0.7,Fall,No,1361
REC_00157,19.7,50.7,2.8,Fall,No,643
REC_00158,3.1,67.5,1.4,Spring,No,25
REC_00159,21.6,78.2,0.3,Spring,No,388
REC_00160,5.3,37.6,2.6,Winter,No,133
REC_00161,22.9,57.5,3.4,Spring,No,606
REC_00162,26.6,64.2,3.4,Winter,Yes,691
REC_00163,6.8,58.5,3.0,Spring,Yes,346
REC_00164,24.6,22.8,2.1,Winter,No,401
REC_00165,19.1,67.5,2.2,Fall,No,758
REC_00166,23.2,82.8,3.0,Summer,No,309
REC_00167,34.0,61.7,3.5,Fall,No,1247
REC_00168,12.5,44.5,3.2,Winter,No,238
REC_00169,7.5,52.3,2.7,Fall,No,603
REC_00170,6.1,86.5,0.5,Spring,No,10
REC_00171,6.8,73.6,0.7,Spring,Yes,398
REC_00172,14.2,69.6,0.9,Summer,No,309
REC_00173,18.4,65.3,7.6,Summer,No,418
REC_00174,17.8,50.1,4.3,Fall,No,684
REC_00175,23.3,57.0,2.4,Summer,No,546
REC_00176,15.1,58.8,0.9,Spring,No,357
REC_00177,29.5,68.2,0.4,Spring,No,863
REC_00178,12.4,82.6,6.9,Spring,No,10
REC_00179,42.2,76.8,6.7,Winter,No,707
REC_00180,21.3,38.7,0.4,Winter,No,529
REC_00181,6.4,63.4,4.8,Fall,No,346
REC_00182,4.3,71.1,1.8,Winter,No,10
REC_00183,19.8,69.3,1.2,Summer,No,505
REC_00184,12.8,50.6,4.0,Spring,No,324
REC_00185,22.1,100.0,2.9,Fall,No,350
REC_00186,19.7,40.8,4.5,Winter,No,220
REC_00187,14.3,43.8,0.2,Fall,No,809
REC_00188,6.5,63.5,1.2,Fall,No,624
REC_00189,-0.1,91.8,1.2,Summer,No,10
REC_00190,10.5,47.5,1.2,Summer,No,441
REC_00191,23.6,56.0,2.1,Summer,No,752
REC_00192,17.1,76.2,1.0,Fall,No,429
REC_00193,2.5,59.7,1.8,Fall,Yes,569
REC_00194,16.7,55.0,1.4,Summer,No,717
REC_00195,18.9,68.5,4.0,Winter,No,10
REC_00196,6.2,64.1,2.8,Spring,Yes,310
REC_00197,16.5,75.5,3.2,Summer,No,253
REC_00198,15.6,79.4,0.7,Winter,Yes,54
REC_00199,3.6,64.6,1.2,Fall,No,413
REC_00200,18.6,64.4,0.1,Fall,No,734
REC_00201,20.6,63.2,0.3,Winter,Yes,439
REC_00202,25.8,67.3,0.9,Winter,No,192
REC_00203,25.5,60.8,0.2,Fall,No,987
REC_00204,1.2,60.0,2.8,Fall,No,82
REC_00205,5.6,77.9,18.8,Fall,No,10
REC_00206,20.2,82.7,0.3,Fall,No,775
REC_00207,20.1,37.4,5.2,Summer,No,949
REC_00208,20.2,60.2,0.4,Fall,No,855
REC_00209,53.5,49.7,3.3,Fall,No,1996
REC_00210,20.7,55.3,3.1,Winter,No,409
REC_00211,26.4,66.0,7.0,Winter,Yes,447
REC_00212,24.5,70.0,0.4,Winter,No,10
REC_00213,21.5,58.3,1.1,Fall,No,945
REC_00214,11.8,31.3,0.3,Winter,No,10
REC_00215,22.6,45.5,1.6,Fall,No,1005
REC_00216,7.3,73.4,7.3,Fall,Yes,531
REC_00217,12.6,18.9,4.6,Winter,No,321
REC_00218,10.1,77.8,3.9,Spring,No,10
REC_00219,15.8,67.8,2.3,Summer,No,591
REC_00220,38.1,79.7,6.4,Summer,No,788
REC_00221,-3.7,57.0,1.8,Spring,Yes,298
REC_00222,21.9,29.1,0.5,Spring,No,759
REC_00223,-1.1,66.5,5.5,Fall,No,102
REC_00224,10.3,79.1,1.0,Winter,No,10
REC_00225,25.9,73.9,0.2,Summer,No,681
REC_00226,15.6,50.1,0.4,Summer,No,809
REC_00227,4.2,61.3,2.8,Spring,No,10
REC_00228,7.8,52.0,2.8,Winter,No,10
REC_00229,21.8,47.7,0.9,Summer,No,810
REC_00230,7.7,74.3,3.9,Summer,No,10
REC_00231,17.2,42.0,4.5,Fall,No,854
REC_00232,15.5,46.6,7.6,Fall,No,778
REC_00233,8.5,43.4,2.6,Fall,No,296
REC_00234,36.4,37.6,4.5,Summer,No,1377
REC_00235,21.3,62.2,4.2,Summer,Yes,863
REC_00236,-5.3,77.4,0.9,Fall,No,10
REC_00237,16.9,57.2,1.1,Fall,Yes,1199
REC_00238,8.4,37.4,2.0,Winter,No,149
REC_00239,23.5,72.6,0.1,Summer,No,660
REC_00240,7.1,85.3,1.1,Summer,No,10
REC_00241,13.9,50.3,1.9,Spring,No,285
REC_00242,20.0,52.8,0.3,Fall,No,805
REC_00243,23.7,67.7,0.4,Fall,No,857
REC_00244,3.0,84.3,1.9,Fall,No,10
REC_00245,11.7,52.2,3.9,Summer,Yes,895
REC_00246,10.3,40.0,5.4,Winter,Yes,478
REC_00247,8.5,69.5,2.4,Summer,No,226
REC_00248,32.7,72.0,1.9,Spring,No,867
REC_00249,19.0,60.1,1.5,Spring,Yes,806
REC_00250,2.4,51.6,0.6,Winter,No,141
REC_00251,24.2,74.9,0.5,Fall,No,852
REC_00252,36.2,67.9,4.7,Spring,Yes,1339
REC_00253,25.3,48.5,1.9,Summer,No,1159
REC_00254,-0.2,60.7,4.7,Spring,No,10
REC_00255,10.2,39.7,3.7,Spring,No,257
REC_00256,27.7,70.3,0.6,Winter,No,415
REC_00257,7.9,56.1,2.1,Winter,Yes,349
REC_00258,19.4,53.5,1.8,Summer,No,693
REC_00259,22.7,59.5,1.7,Fall,No,1124
REC_00260,5.7,60.6,2.3,Winter,No,10
REC_00261,14.4,73.4,12.1,Winter,No,10
REC_00262,-17.4,68.9,5.0,Fall,No,10
REC_00263,4.8,,7.0,Spring,No,10
REC_00264,12.5,71.5,0.1,Summer,No,377
REC_00265,2.5,66.0,0.5,Summer,No,211
REC_00266,31.3,53.6,0.3,Spring,Yes,1244
REC_00267,0.7,58.1,0.9,Fall,No,104
REC_00268,10.6,57.8,1.7,Fall,No,714
REC_00269,16.3,67.6,3.1,Winter,No,10
REC_00270,29.4,54.5,2.1,Fall,No,1030
REC_00271,0.6,54.1,7.0,Summer,No,36
REC_00272,26.6,89.5,8.4,Summer,No,503
REC_00273,15.1,74.1,0.5,Summer,No,119
REC_00274,5.2,48.6,5.8,Fall,No,490
REC_00275,19.6,68.6,2.0,Spring,No,433
REC_00276,17.0,61.8,1.8,Summer,No,763
REC_00277,9.0,65.9,4.6,Summer,No,159
REC_00278,15.7,62.1,0.3,Spring,No,552
REC_00279,11.1,77.8,6.4,Winter,No,10
REC_00280,16.1,65.2,3.3,Fall,No,602
REC_00281,21.6,59.1,6.2,Summer,No,656
REC_00282,30.9,75.6,15.6,Fall,No,1051
REC_00283,2.6,63.5,2.2,Summer,No,10
REC_00284,36.3,61.8,0.3,Summer,No,1191
REC_00285,-4.5,64.7,0.5,Winter,No,10
REC_00286,13.5,,1.2,Spring,No,297
REC_00287,20.9,60.1,0.3,Spring,No,609
REC_00288,17.8,51.2,5.1,Spring,No,611
REC_00289,8.8,48.7,1.1,Winter,No,10
REC_00290,12.9,45.0,11.2,Winter,No,54
REC_00291,10.1,39.1,3.6,Spring,No,320
REC_00292,9.1,46.8,0.6,Fall,No,589
REC_00293,23.5,57.4,1.9,Fall,No,752
REC_00294,18.6,61.5,1.9,Winter,No,312
REC_00295,8.1,55.9,2.0,Fall,No,426
REC_00296,24.0,24.7,2.3,Spring,No,894
REC_00297,18.1,83.6,0.1,Summer,No,446
REC_00298,23.1,76.3,3.5,Fall,No,844
REC_00299,21.3,66.7,2.0,Spring,No,338
REC_00300,6.7,88.6,4.7,Spring,No,10
REC_00301,9.4,45.3,5.1,Spring,No,207
REC_00302,22.5,88.3,0.8,Fall,No,795
REC_00303,21.1,45.5,0.1,Summer,No,745
REC_00304,14.8,63.6,3.6,Fall,No,664
REC_00305,16.2,40.9,11.4,Spring,Yes,812
REC_00306,27.8,60.2,1.8,Spring,No,536
REC_00307,9.1,65.8,0.9,Spring,No,10
REC_00308,20.5,57.7,0.5,Winter,No,19
REC_00309,13.0,70.7,1.0,Fall,No,617
REC_00310,12.8,61.5,1.2,Summer,No,110
REC_00311,26.0,52.2,1.7,Fall,No,1083
REC_00312,23.3,51.5,3.2,Spring,No,673
REC_00313,23.1,72.2,1.0,Spring,No,204
REC_00314,28.1,50.2,0.2,Winter,Yes,718
REC_00315,15.2,73.7,1.4,Spring,No,78
REC_00316,21.8,78.3,5.8,Fall,No,592
REC_00317,11.9,35.0,2.1,Fall,Yes,1395
REC_00318,18.2,77.0,10.0,Fall,No,587
REC_00319,13.7,90.9,2.1,Spring,No,10
REC_00320,16.0,63.8,1.0,Winter,No,10
REC_00321,21.0,69.0,0.6,Fall,No,497
REC_00322,6.8,75.6,3.6,Summer,No,10
REC_00323,35.9,55.9,2.3,Summer,No,999
REC_00324,4.9,62.7,2.8,Summer,No,123
REC_00325,2.9,40.3,4.2,Fall,No,421
REC_00326,26.6,62.1,3.9,Winter,No,147
REC_00327,22.9,67.5,0.1,Spring,No,442
REC_00328,21.2,67.7,4.9,Winter,No,10
REC_00329,21.3,76.0,2.3,Spring,No,268
REC_00330,14.9,48.4,1.5,Spring,No,656
REC_00331,6.0,52.0,2.3,Spring,No,203
REC_00332,15.8,88.4,2.8,Spring,No,128
REC_00333,8.2,57.7,0.5,Fall,No,613
REC_00334,24.8,63.0,1.6,Summer,No,879
REC_00335,13.5,59.0,1.2,Fall,No,811
REC_00336,6.7,47.7,1.3,Winter,No,10
REC_00337,11.8,84.4,0.3,Spring,No,36
REC_00338,19.1,52.1,0.5,Fall,No,756
REC_00339,9.4,43.1,0.5,Fall,No,520
REC_00340,6.8,53.2,1.4,Fall,No,583
REC_00341,17.4,30.0,6.7,Spring,No,605
REC_00342,17.4,,0.7,Spring,No,306
REC_00343,9.9,45.5,1.6,Spring,No,10
REC_00344,10.3,69.3,1.1,Fall,No,722
REC_00345,17.3,49.9,4.6,Fall,No,603
REC_00346,0.5,73.3,0.2,Winter,Yes,10
REC_00347,0.9,81.0,0.7,Summer,No,41
REC_00348,7.8,71.7,0.7,Summer,No,10
REC_00349,12.9,56.8,14.9,Spring,No,175
REC_00350,18.1,62.1,2.5,Summer,No,808
REC_00351,29.8,37.1,0.4,Spring,Yes,1734
REC_00352,23.6,58.0,1.0,Spring,No,546
REC_00353,13.4,47.1,0.6,Fall,No,720
REC_00354,14.8,70.4,0.4,Summer,No,325
REC_00355,5.0,98.6,4.8,Winter,No,10
REC_00356,14.8,67.5,2.1,Spring,No,432
REC_00357,12.1,30.1,3.0,Spring,No,307
REC_00358,18.2,54.6,1.2,Winter,No,179
REC_00359,6.7,61.8,2.4,Summer,Yes,568
REC_00360,20.2,61.3,0.9,Winter,No,285
REC_00361,30.3,49.0,1.1,Summer,No,1250
REC_00362,13.9,63.7,3.2,Summer,No,321
REC_00363,19.0,41.4,0.5,Summer,No,782
REC_00364,21.9,45.8,2.9,Summer,No,939
REC_00365,11.0,69.7,5.7,Summer,Yes,745
REC_00366,17.2,44.8,0.4,Summer,Yes,741
REC_00367,15.1,68.1,6.8,Spring,No,303
REC_00368,16.0,39.5,0.2,Fall,Yes,1529
REC_00369,7.3,86.5,1.3,Spring,No,10
REC_00370,15.2,48.4,2.8,Spring,No,573
REC_00371,20.0,56.6,2.5,Winter,No,288
REC_00372,29.5,65.0,0.3,Fall,No,1064
REC_00373,24.6,51.5,4.8,Fall,No,1073
REC_00374,36.5,62.2,10.9,Fall,No,1111
REC_00375,7.3,68.6,0.6,Summer,No,166
REC_00376,23.7,74.4,6.8,Summer,No,416
REC_00377,16.8,71.9,2.4,Summer,No,425
REC_00378,36.9,57.4,8.2,Spring,No,1193
REC_00379,6.9,57.8,0.6,Fall,No,285
REC_00380,6.6,95.2,4.7,Fall,No,68
REC_00381,9.0,74.2,0.2,Spring,No,73
REC_00382,-6.2,46.2,6.4,Summer,No,127
REC_00383,9.7,61.5,3.4,Winter,No,10
REC_00384,7.4,55.0,1.4,Fall,No,312
REC_00385,16.5,58.0,0.6,Spring,No,320
REC_00386,18.4,41.6,5.1,Summer,No,632
REC_00387,33.8,53.8,2.8,Spring,No,861
REC_00388,24.5,87.2,1.3,Winter,No,10
REC_00389,9.2,68.7,1.8,Winter,No,10
REC_00390,6.0,22.6,5.3,Summer,No,397
REC_00391,19.9,78.3,1.2,Spring,No,189
REC_00392,1.8,76.3,0.3,Summer,No,10
REC_00393,33.3,54.6,7.3,Spring,No,917
REC_00394,26.8,70.8,1.5,Spring,No,564
REC_00395,10.3,47.1,1.3,Winter,No,10
REC_00396,-2.1,52.9,0.7,Spring,No,10
REC_00397,28.5,82.5,6.8,Spring,Yes,587
REC_00398,13.9,55.9,0.7,Winter,No,192
REC_00399,27.4,32.0,3.0,Fall,Yes,1614
REC_00400,-0.9,59.1,6.4,Fall,No,493
REC_00401,9.0,58.8,0.1,Fall,No,596
REC_00402,15.1,78.0,5.3,Fall,No,668
REC_00403,15.5,60.2,1.6,Spring,No,488
REC_00404,10.5,53.7,3.2,Fall,No,554
REC_00405,21.2,75.7,1.4,Fall,Yes,968
REC_00406,4.3,61.8,3.6,Spring,No,10
REC_00407,13.6,48.7,0.9,Fall,No,875
REC_00408,16.2,77.3,0.1,Fall,No,551
REC_00409,20.1,62.9,8.9,Summer,No,583
REC_00410,22.1,60.0,0.0,Fall,No,985
REC_00411,3.8,,5.2,Summer,No,112
REC_00412,-0.3,43.9,0.6,Fall,No,272
REC_00413,27.8,52.1,1.5,Spring,Yes,1342
REC_00414,18.3,60.1,5.2,Fall,No,640
REC_00415,7.5,57.1,0.7,Winter,No,10
REC_00416,30.5,79.1,6.0,Spring,No,642
REC_00417,16.2,63.3,2.1,Fall,No,613
REC_00418,26.8,72.8,1.4,Fall,No,582
REC_00419,15.7,60.1,3.3,Spring,No,477
REC_00420,35.6,75.8,1.3,Winter,No,579
REC_00421,32.6,66.0,1.3,Spring,No,524
REC_00422,12.5,60.2,4.0,Winter,No,10
REC_00423,24.7,59.8,1.1,Spring,No,930
REC_00424,21.5,45.7,0.7,Spring,No,712
REC_00425,28.7,67.6,4.9,Summer,No,762
REC_00426,5.4,59.4,4.9,Summer,No,81
REC_00427,21.9,52.5,2.1,Spring,No,446
REC_00428,25.6,76.6,2.2,Summer,No,590
REC_00429,-2.6,41.2,3.6,Fall,Yes,802
REC_00430,3.2,53.7,2.1,Fall,No,325
REC_00431,-5.4,75.4,1.6,Fall,No,10
REC_00432,12.3,64.7,15.8,Summer,No,400
REC_00433,22.2,59.3,0.5,Summer,Yes,1028
REC_00434,30.0,63.8,2.7,Fall,No,1067
REC_00435,15.7,62.7,6.5,Spring,No,397
REC_00436,31.3,37.3,3.5,Fall,No,1174
REC_00437,1.2,54.8,6.4,Summer,No,69
REC_00438,-2.0,84.2,1.2,Winter,No,10
REC_00439,14.4,50.1,1.0,Fall,No,665
REC_00440,18.8,55.2,5.7,Fall,No,887
REC_00441,14.7,51.9,1.5,Summer,No,528
REC_00442,-5.7,58.7,3.7,Summer,Yes,506
REC_00443,14.1,51.3,0.5,Summer,No,306
REC_00444,2.0,67.3,4.2,Summer,No,10
REC_00445,21.7,63.0,2.4,Fall,No,563
REC_00446,18.7,71.6,0.9,Summer,Yes,776
REC_00447,5.6,44.2,2.0,Winter,No,10
REC_00448,9.9,54.9,3.6,Spring,No,154
REC_00449,4.4,56.6,0.0,Summer,No,38
REC_00450,14.4,,3.0,Summer,No,358
REC_00451,24.6,48.1,2.3,Fall,Yes,1492
REC_00452,5.1,73.7,0.7,Spring,No,10
REC_00453,20.0,77.8,4.2,Spring,No,164
REC_00454,9.7,45.2,1.1,Spring,No,704
REC_00455,7.1,52.6,1.0,Summer,No,371
REC_00456,13.9,52.0,1.9,Fall,No,396
REC_00457,4.6,99.5,3.4,Fall,No,10
REC_00458,9.5,53.6,7.9,Summer,No,314
REC_00459,3.0,85.2,0.5,Spring,No,10
REC_00460,34.6,41.0,1.5,Spring,No,1017
REC_00461,15.4,45.2,0.2,Fall,No,1136
REC_00462,8.0,49.7,4.3,Winter,No,171
REC_00463,17.1,47.3,1.8,Summer,No,623
REC_00464,13.9,56.0,3.7,Winter,No,32
REC_00465,12.8,49.4,1.2,Winter,No,110
REC_00466,21.1,47.7,5.6,Spring,No,730
REC_00467,22.6,77.4,2.3,Winter,Yes,273
REC_00468,9.7,78.4,8.6,Summer,No,319
REC_00469,9.2,74.2,0.2,Fall,No,321
REC_00470,12.2,67.9,2.2,Summer,No,367
REC_00471,-8.0,61.4,4.4,Summer,No,10
REC_00472,-0.2,52.5,2.8,Summer,No,56
REC_00473,28.7,45.7,0.1,Summer,No,1094
REC_00474,31.4,65.4,10.8,Winter,No,48
REC_00475,12.5,42.4,1.1,Spring,No,139
REC_00476,20.8,45.1,0.9,Fall,No,927
REC_00477,18.1,77.3,2.0,Spring,No,108
REC_00478,45.8,88.5,2.3,Winter,No,637
REC_00479,26.2,65.9,4.4,Spring,No,626
REC_00480,13.7,76.6,1.5,Spring,No,125
REC_00481,5.4,56.3,1.7,Winter,No,10
REC_00482,-1.1,39.9,2.3,Spring,No,33
REC_00483,17.0,69.2,1.5,Fall,No,377
REC_00484,7.4,68.5,7.4,Winter,No,10
REC_00485,0.8,61.1,5.7,Fall,No,303
REC_00486,8.5,56.4,1.8,Spring,Yes,281
REC_00487,4.2,74.4,0.0,Summer,No,18
REC_00488,31.9,45.2,6.9,Summer,No,1138
REC_00489,23.8,48.4,0.4,Winter,No,722
REC_00490,14.9,44.9,0.8,Summer,No,817
REC_00491,29.8,61.3,0.5,Summer,No,943
REC_00492,15.8,43.7,0.6,Summer,No,756
REC_00493,6.4,49.7,4.9,Winter,No,10
REC_00494,30.2,49.4,2.6,Fall,No,1016
REC_00495,20.4,56.1,9.4,Summer,No,658
REC_00496,4.6,37.7,0.8,Winter,No,10
REC_00497,13.1,61.3,2.0,Fall,No,593
REC_00498,6.2,78.7,11.4,Winter,No,10
REC_00499,1.2,62.0,5.3,Summer,Yes,386
REC_00500,24.3,83.1,3.9,Summer,No,505
REC_00501,34.1,80.0,0.6,Spring,No,556
REC_00502,1.0,71.7,4.4,Spring,No,10
REC_00503,20.6,61.1,1.3,Spring,No,301
REC_00504,8.5,60.3,2.3,Fall,No,325
REC_00505,10.1,71.5,2.8,Winter,Yes,225
REC_00506,9.1,54.1,2.8,Fall,No,463
REC_00507,6.4,31.8,3.9,Spring,No,405
REC_00508,15.5,67.4,3.3,Spring,No,259
REC_00509,6.7,43.0,0.2,Summer,No,360
REC_00510,17.7,45.6,1.8,Fall,No,697
REC_00511,14.5,60.0,3.3,Summer,No,375
REC_00512,12.6,58.6,1.1,Summer,No,453
REC_00513,5.9,38.8,1.1,Winter,No,10
REC_00514,9.2,62.5,0.4,Spring,No,163
REC_00515,22.6,74.5,1.6,Summer,No,656
REC_00516,20.0,43.1,13.0,Summer,No,396
REC_00517,5.2,79.1,1.0,Spring,No,10
REC_00518,16.0,36.6,2.3,Spring,No,410
REC_00519,22.5,91.8,4.1,Winter,No,10
REC_00520,-1.7,53.8,0.0,Winter,No,10
REC_00521,20.4,62.2,6.9,Summer,No,256
REC_00522,8.4,31.6,1.5,Summer,No,674
REC_00523,20.7,59.1,6.1,Summer,No,738
REC_00524,7.4,63.4,0.1,Fall,No,575
REC_00525,-3.0,58.7,0.5,Winter,No,10
REC_00526,-1.3,51.6,1.2,Summer,No,104
REC_00527,15.5,45.8,1.3,Spring,No,592
REC_00528,17.6,77.0,5.6,Winter,Yes,284
