Student_ID,Study_Hours,Attendance_Rate,Mock_Score,Sleep_Hours,Academy_Type,Pass
STU_00061,23.1,78.6,50.5,7.9,Online,1
STU_00062,13.9,88.3,46.5,6.7,Offline,1
STU_00063,13.0,100.0,70.1,7.4,Online,1
STU_00064,33.1,54.5,28.9,7.1,Offline,0
STU_00065,38.6,74.2,28.5,6.9,Offline,0
STU_00066,24.3,70.9,71.4,8.2,Offline,1
STU_00067,35.0,81.5,68.8,6.7,Offline,1
STU_00068,28.6,78.2,62.5,9.9,Offline,1
STU_00069,18.5,69.7,44.2,7.9,Offline,1
STU_00070,28.6,68.4,73.4,4.8,Online,1
STU_00071,40.4,58.3,72.2,6.2,Offline,1
STU_00072,24.6,89.8,61.5,7.1,Self_Study,1
STU_00073,40.6,81.9,38.8,6.6,Online,1
STU_00074,1.0,88.8,52.3,7.5,Online,1
STU_00075,33.2,70.3,75.1,7.7,Self_Study,1
STU_00076,25.9,65.1,83.9,4.5,Offline,1
STU_00077,22.0,58.8,54.1,8.4,Offline,1
STU_00078,25.9,80.4,55.5,5.8,Offline,1
STU_00079,5.1,59.4,57.1,5.6,Self_Study,1
STU_00080,22.8,100.0,64.9,5.6,Self_Study,1
STU_00081,28.6,55.4,49.5,7.7,Online,0
STU_00082,39.8,79.1,7.9,6.1,Offline,0
STU_00083,19.8,98.5,81.5,5.5,Offline,1
STU_00084,16.9,84.0,92.3,5.9,Online,0
STU_00085,20.0,77.6,49.0,3.8,Offline,1
STU_00086,34.2,60.5,40.8,5.2,Self_Study,1
STU_00087,28.3,54.3,57.5,4.6,Self_Study,0
STU_00088,19.7,86.6,56.6,6.1,Self_Study,1
STU_00089,30.1,97.6,77.9,7.5,Online,1
STU_00090,26.0,68.4,61.0,7.3,Self_Study,1
STU_00091,34.7,57.9,45.7,8.4,Offline,1
STU_00092,18.0,38.1,36.3,8.1,Online,0
STU_00093,21.7,60.3,75.6,5.7,Offline,1
STU_00094,21.1,73.3,70.8,6.5,Self_Study,1
STU_00095,10.4,99.0,79.1,6.5,Offline,1
STU_00096,28.0,85.1,42.6,3.3,Self_Study,1
STU_00097,27.6,79.6,93.1,4.7,Offline,1
STU_00098,25.1,69.0,28.6,6.2,Offline,0
STU_00099,22.7,66.3,72.8,6.2,Online,0
STU_00100,10.8,96.1,25.6,7.3,Online,0
STU_00101,20.8,78.0,45.8,7.2,Offline,1
STU_00102,21.6,43.5,88.1,3.8,Offline,1
STU_00103,17.0,64.9,75.0,7.3,Offline,1
STU_00104,23.4,62.1,50.2,6.8,Offline,0
STU_00105,29.0,66.8,50.7,7.4,Self_Study,1
STU_00106,43.9,83.4,61.8,8.1,Online,1
STU_00107,26.7,73.4,69.3,6.3,Offline,1
STU_00108,27.6,73.8,82.5,8.4,Offline,1
STU_00109,24.3,94.7,51.8,5.2,Online,1
STU_00110,5.8,64.6,31.0,5.1,Self_Study,1
STU_00111,24.7,100.0,62.8,7.1,Offline,1
STU_00112,25.6,64.9,51.8,5.9,Online,1
STU_00113,49.6,76.3,36.6,6.9,Self_Study,1
STU_00114,23.1,70.8,65.4,9.5,Self_Study,1
STU_00115,28.0,76.9,56.2,7.1,Self_Study,1
STU_00116,24.7,81.7,65.5,6.8,Offline,1
STU_00117,13.3,81.5,43.9,5.2,Self_Study,0
STU_00118,36.4,63.7,68.8,4.0,Online,1
STU_00119,32.5,58.2,36.3,6.4,Offline,1
STU_00120,32.9,100.0,45.1,8.1,Online,1
STU_00121,15.9,67.7,55.6,6.0,Offline,1
STU_00122,39.0,85.5,91.4,7.1,Self_Study,1
STU_00123,11.0,50.9,74.1,8.6,Self_Study,1
STU_00124,30.9,70.8,79.4,8.6,Self_Study,1
STU_00125,46.9,73.1,85.5,7.1,Offline,1
STU_00126,15.1,82.1,100.0,6.8,Self_Study,1
STU_00127,19.3,34.2,60.7,4.2,Offline,1
STU_00128,26.0,77.5,85.6,5.6,Online,1
STU_00129,20.0,57.8,78.2,6.1,Offline,1
STU_00130,9.5,79.9,77.9,5.2,Offline,1
STU_00131,25.7,59.5,91.9,6.9,Online,1
STU_00132,14.4,62.2,52.5,9.4,Self_Study,1
STU_00133,29.7,70.9,51.0,8.8,Offline,1
STU_00134,15.8,59.2,65.8,6.9,Self_Study,0
STU_00135,40.5,67.9,56.7,7.7,Offline,1
STU_00136,17.2,57.1,65.7,5.4,Online,1
STU_00137,21.8,47.5,88.1,8.7,Online,1
STU_00138,33.1,90.3,51.4,4.2,Self_Study,1
STU_00139,12.7,55.6,54.5,7.9,Online,1
STU_00140,27.3,72.3,63.1,7.2,Offline,1
STU_00141,38.1,86.3,55.9,5.4,Online,1
STU_00142,8.9,65.8,25.5,6.2,Offline,1
STU_00143,26.8,,49.6,4.8,Online,1
STU_00144,27.6,78.4,72.4,4.9,Online,0
STU_00145,32.8,91.8,85.9,4.1,Offline,1
STU_00146,12.6,57.5,39.2,7.7,Online,1
STU_00147,11.8,72.7,39.1,8.3,Offline,0
STU_00148,30.2,49.0,60.5,3.3,Self_Study,0
STU_00149,28.0,69.1,22.6,9.3,Offline,1
STU_00150,27.5,75.5,52.0,6.5,Online,1
STU_00151,28.5,62.2,28.8,6.9,Offline,1
STU_00152,18.2,68.1,84.6,4.3,Self_Study,1
STU_00153,27.3,53.9,46.2,8.5,Offline,1
STU_00154,27.9,76.2,89.8,6.8,Offline,1
STU_00155,17.9,90.8,80.0,8.2,Self_Study,1
STU_00156,43.7,,48.4,8.3,Self_Study,1
STU_00157,29.7,65.7,40.7,8.5,Offline,1
STU_00158,13.1,82.5,56.5,5.5,Self_Study,0
STU_00159,31.6,93.2,58.1,6.2,Online,1
STU_00160,15.3,52.6,66.2,5.6,Self_Study,1
STU_00161,32.9,72.5,46.0,7.8,Online,0
STU_00162,36.6,79.2,73.4,7.0,Offline,1
STU_00163,16.8,73.5,64.8,8.1,Self_Study,1
STU_00164,34.6,37.8,53.9,8.2,Online,1
STU_00165,29.1,82.5,47.2,3.9,Online,1
STU_00166,33.2,97.8,56.7,8.5,Offline,1
STU_00167,44.0,76.7,45.3,7.9,Offline,1
STU_00168,22.5,59.5,61.1,5.9,Online,1
STU_00169,17.5,67.3,61.5,7.0,Offline,1
STU_00170,16.1,100.0,64.7,6.3,Offline,1
STU_00171,16.8,88.6,91.8,7.4,Online,1
STU_00172,24.2,84.6,57.6,5.9,Offline,1
STU_00173,28.4,80.3,78.1,7.2,Online,1
STU_00174,27.8,65.1,64.1,6.6,Online,1
STU_00175,33.3,72.0,55.7,5.9,Offline,0
STU_00176,25.1,73.8,57.9,6.8,Self_Study,1
STU_00177,39.5,83.2,58.9,10.0,Offline,1
STU_00178,22.4,97.6,65.0,5.5,Online,1
STU_00179,52.2,91.8,42.7,6.1,Offline,1
STU_00180,31.3,53.7,33.6,5.5,Self_Study,1
STU_00181,16.4,78.4,71.8,5.7,Offline,1
STU_00182,14.3,86.1,76.2,7.7,Offline,1
STU_00183,29.8,84.3,73.4,7.6,Self_Study,1
STU_00184,22.8,65.6,62.8,6.5,Offline,1
STU_00185,32.1,100.0,73.8,8.0,Self_Study,1
STU_00186,29.7,55.8,72.8,7.7,Offline,1
STU_00187,24.3,58.8,74.2,6.3,Online,1
STU_00188,16.5,78.5,44.5,4.2,Online,1
STU_00189,9.9,100.0,40.3,7.7,Offline,1
STU_00190,20.5,62.5,53.0,6.8,Offline,1
STU_00191,33.6,71.0,59.7,6.5,Offline,1
STU_00192,27.1,91.2,55.6,5.8,Online,1
STU_00193,12.5,74.7,26.2,7.6,Self_Study,1
STU_00194,26.7,70.0,91.0,7.0,Self_Study,1
STU_00195,28.9,83.5,55.1,6.1,Offline,1
STU_00196,16.2,79.1,63.1,4.7,Offline,1
STU_00197,26.5,90.5,82.4,8.1,Online,1
STU_00198,25.6,94.4,17.8,7.4,Offline,0
STU_00199,13.6,79.6,50.8,6.9,Offline,1
STU_00200,28.6,79.4,53.0,3.0,Offline,1
STU_00201,30.6,78.2,53.9,6.4,Offline,1
STU_00202,35.8,82.3,56.9,6.1,Offline,1
STU_00203,35.5,75.8,86.0,5.6,Online,1
STU_00204,11.2,75.0,72.1,7.6,Online,1
STU_00205,15.6,92.9,77.2,7.6,Self_Study,1
STU_00206,30.2,97.7,60.8,7.2,Online,0
STU_00207,30.1,52.4,34.8,8.1,Online,0
STU_00208,30.2,75.2,22.6,5.0,Offline,1
STU_00209,60.0,64.7,32.5,5.8,Online,1
STU_00210,30.7,70.3,66.5,6.6,Offline,1
STU_00211,36.4,81.0,60.6,5.6,Offline,1
STU_00212,34.5,85.0,56.2,7.6,Online,1
STU_00213,31.5,73.3,53.4,5.7,Online,1
STU_00214,21.8,46.3,96.2,8.4,Online,1
STU_00215,32.6,60.5,45.2,5.1,Offline,1
STU_00216,17.3,88.4,76.7,9.7,Self_Study,1
STU_00217,22.6,33.9,60.0,9.5,Online,1
STU_00218,20.1,92.8,58.9,6.4,Offline,1
STU_00219,25.8,82.8,81.2,8.2,Self_Study,1
STU_00220,48.1,,86.3,5.9,Online,1
STU_00221,6.3,72.0,55.7,8.0,Offline,1
STU_00222,31.9,44.1,74.4,6.2,Offline,1
STU_00223,8.9,81.5,66.6,4.6,Offline,0
STU_00224,20.3,94.1,60.1,3.0,Self_Study,1
STU_00225,35.9,88.9,63.7,6.1,Offline,1
STU_00226,25.6,65.1,47.6,6.9,Online,1
STU_00227,14.2,76.3,54.5,8.5,Offline,1
STU_00228,17.8,67.0,49.5,6.6,Online,0
STU_00229,31.8,62.7,76.2,8.0,Online,1
STU_00230,17.7,89.3,58.3,5.8,Self_Study,1
STU_00231,27.2,57.0,36.6,6.0,Offline,1
STU_00232,25.5,61.6,47.0,8.1,Offline,1
STU_00233,18.5,58.4,2.4,3.0,Online,0
STU_00234,46.4,52.6,51.1,6.5,Online,0
STU_00235,31.3,77.2,60.7,5.9,Online,0
STU_00236,4.7,92.4,57.5,8.5,Self_Study,1
STU_00237,26.9,72.2,95.6,5.7,Self_Study,1
STU_00238,18.4,52.4,70.3,7.3,Offline,0
STU_00239,33.5,87.6,69.5,7.9,Online,0
STU_00240,17.1,100.0,30.4,4.3,Self_Study,0
STU_00241,23.9,65.3,53.4,6.3,Self_Study,1
STU_00242,30.0,67.8,51.2,5.9,Self_Study,1
STU_00243,33.7,,45.9,7.9,Offline,1
STU_00244,13.0,99.3,45.6,7.5,Offline,1
STU_00245,21.7,67.2,27.5,6.2,Offline,1
STU_00246,20.3,55.0,37.0,4.9,Online,0
STU_00247,18.5,84.5,75.7,8.1,Offline,1
STU_00248,42.7,87.0,57.4,6.4,Offline,1
STU_00249,29.0,75.1,50.9,4.1,Offline,1
STU_00250,12.4,66.6,59.9,4.2,Offline,1
STU_00251,34.2,89.9,81.0,7.2,Offline,1
STU_00252,46.2,82.9,60.1,4.6,Offline,1
STU_00253,35.3,63.5,69.7,9.3,Online,1
STU_00254,9.8,75.7,44.8,5.1,Self_Study,1
STU_00255,20.2,54.7,48.9,6.5,Offline,1
STU_00256,37.7,85.3,66.4,6.7,Offline,1
STU_00257,17.9,71.1,94.1,5.4,Online,1
STU_00258,29.4,68.5,85.7,3.1,Self_Study,1
STU_00259,32.7,74.5,70.5,6.8,Offline,1
STU_00260,15.7,75.6,62.7,5.4,Offline,1
STU_00261,24.4,88.4,85.2,6.7,Self_Study,1
STU_00262,1.0,83.9,74.3,6.3,Self_Study,0
STU_00263,14.8,72.7,18.7,6.9,Offline,1
STU_00264,22.5,86.5,41.0,8.8,Online,1
STU_00265,12.5,81.0,66.1,5.7,Self_Study,0
STU_00266,41.3,68.6,27.8,5.8,Self_Study,1
STU_00267,10.7,73.1,43.8,4.0,Online,0
STU_00268,20.6,72.8,47.4,6.2,Offline,1
STU_00269,26.3,82.6,55.4,7.1,Offline,1
STU_00270,39.4,69.5,54.8,5.8,Online,0
STU_00271,10.6,69.1,54.8,7.1,Online,1
STU_00272,36.6,100.0,74.9,6.2,Offline,1
STU_00273,25.1,89.1,55.2,4.5,Self_Study,0
STU_00274,15.2,63.6,53.1,7.0,Online,1
STU_00275,29.6,83.6,35.7,6.2,Self_Study,1
STU_00276,27.0,76.8,78.4,6.7,Self_Study,1
STU_00277,19.0,80.9,47.9,5.6,Self_Study,0
STU_00278,25.7,77.1,40.4,5.5,Offline,0
STU_00279,21.1,92.8,63.8,6.7,Offline,1
STU_00280,26.1,80.2,46.2,6.2,Offline,1
STU_00281,31.6,74.1,50.5,9.1,Self_Study,1
STU_00282,40.9,90.6,64.7,7.7,Offline,1
STU_00283,12.6,78.5,54.1,7.3,Online,1
STU_00284,46.3,76.8,100.0,6.2,Online,1
STU_00285,5.5,79.7,58.7,3.5,Offline,1
STU_00286,23.5,73.6,71.1,5.3,Self_Study,1
STU_00287,30.9,,25.0,5.5,Offline,1
STU_00288,27.8,66.2,44.5,6.1,Offline,1
STU_00289,18.8,63.7,40.4,6.4,Online,1
STU_00290,22.9,60.0,42.8,7.5,Self_Study,1
STU_00291,20.1,54.1,67.5,6.9,Offline,0
STU_00292,19.1,61.8,78.6,8.2,Self_Study,1
STU_00293,33.5,72.4,66.2,6.0,Offline,1
STU_00294,28.6,76.5,55.9,6.9,Offline,1
STU_00295,18.1,70.9,48.6,7.0,Offline,1
STU_00296,34.0,39.7,80.0,6.9,Online,0
STU_00297,28.1,98.6,97.3,8.4,Online,1
STU_00298,33.1,91.3,62.4,7.7,Online,1
STU_00299,31.3,81.7,76.9,4.5,Offline,1
STU_00300,16.7,100.0,66.2,6.3,Offline,1
STU_00301,19.4,60.3,73.6,6.5,Online,1
STU_00302,32.5,100.0,39.0,9.7,Offline,1
STU_00303,31.1,60.5,51.2,6.0,Offline,1
STU_00304,24.8,78.6,67.1,5.0,Offline,1
STU_00305,26.2,55.9,81.8,7.2,Online,1
STU_00306,37.8,75.2,45.3,7.2,Offline,1
STU_00307,19.1,80.8,23.4,6.4,Offline,1
STU_00308,30.5,72.7,51.0,6.2,Online,1
STU_00309,23.0,85.7,78.2,7.9,Offline,1
STU_00310,22.8,76.5,31.5,5.2,Online,1
STU_00311,36.0,67.2,38.8,6.0,Self_Study,0
STU_00312,33.3,66.5,62.8,5.7,Self_Study,1
STU_00313,33.1,87.2,57.9,8.1,Offline,1
STU_00314,38.1,65.2,70.7,6.9,Online,1
STU_00315,25.2,88.7,37.9,4.9,Offline,1
STU_00316,31.8,93.3,54.2,5.1,Offline,0
STU_00317,21.9,50.0,81.5,9.3,Offline,1
STU_00318,28.2,92.0,38.5,8.1,Online,0
STU_00319,23.7,100.0,86.6,7.8,Online,1
STU_00320,26.0,78.8,40.8,6.5,Online,1
STU_00321,31.0,84.0,75.3,8.8,Offline,1
STU_00322,16.8,90.6,53.3,4.8,Self_Study,1
STU_00323,45.9,70.9,39.4,7.6,Offline,1
STU_00324,14.9,77.7,51.1,5.8,Online,0
STU_00325,12.9,55.3,69.8,6.1,Online,1
STU_00326,36.6,77.1,59.9,7.6,Offline,1
STU_00327,32.9,82.5,80.1,6.3,Online,1
STU_00328,31.2,,85.8,5.8,Online,1
STU_00329,31.3,91.0,38.7,5.8,Online,1
STU_00330,24.9,63.4,37.4,3.5,Offline,1
STU_00331,16.0,67.0,36.5,7.6,Offline,0
STU_00332,25.8,100.0,43.8,5.0,Self_Study,0
STU_00333,18.2,72.7,79.9,9.3,Offline,1
STU_00334,34.8,78.0,70.1,6.1,Online,1
STU_00335,23.5,,50.2,8.5,Self_Study,1
STU_00336,16.7,62.7,59.8,3.8,Online,1
STU_00337,21.8,99.4,85.3,7.6,Offline,1
STU_00338,29.1,67.1,94.3,8.0,Online,1
STU_00339,19.4,58.1,64.7,8.5,Online,0
STU_00340,16.8,68.2,12.1,4.2,Offline,0
STU_00341,27.4,45.0,65.4,5.4,Online,1
STU_00342,27.4,65.2,76.8,7.4,Online,1
STU_00343,19.9,60.5,64.0,6.7,Online,0
STU_00344,20.3,84.3,73.1,6.9,Self_Study,1
STU_00345,27.3,64.9,66.4,6.0,Online,1
STU_00346,10.5,88.3,37.8,8.8,Offline,1
STU_00347,10.9,96.0,44.0,10.0,Self_Study,0
STU_00348,17.8,86.7,54.2,6.7,Online,1
STU_00349,22.9,71.8,79.2,7.2,Self_Study,1
STU_00350,28.1,77.1,46.2,6.6,Self_Study,1
STU_00351,39.8,52.1,68.2,8.4,Self_Study,1
STU_00352,33.6,73.0,65.5,7.7,Offline,0
STU_00353,23.4,62.1,88.6,4.9,Offline,1
STU_00354,24.8,85.4,59.2,5.6,Offline,1
STU_00355,15.0,100.0,28.4,5.0,Online,0
STU_00356,24.8,82.5,71.6,10.0,Online,1
STU_00357,22.1,45.1,98.5,7.5,Online,0
STU_00358,28.2,69.6,72.8,5.6,Offline,1
STU_00359,16.7,76.8,45.8,5.5,Online,1
STU_00360,30.2,76.3,40.5,7.7,Offline,0
STU_00361,40.3,64.0,42.8,7.9,Online,1
STU_00362,23.9,78.7,96.1,7.7,Offline,1
STU_00363,29.0,56.4,54.1,5.9,Offline,1
STU_00364,31.9,60.8,48.1,7.0,Online,1
STU_00365,21.0,84.7,57.1,6.7,Online,0
STU_00366,27.2,,54.3,5.1,Online,1
STU_00367,25.1,83.1,88.2,5.1,Online,1
STU_00368,26.0,54.5,41.7,7.1,Offline,1
STU_00369,17.3,100.0,81.3,6.8,Self_Study,1
STU_00370,25.2,63.4,62.2,7.3,Offline,1
STU_00371,30.0,71.6,81.7,7.7,Self_Study,1
STU_00372,39.5,80.0,88.5,8.7,Self_Study,1
STU_00373,34.6,66.5,61.5,5.3,Offline,1
STU_00374,46.5,77.2,54.3,7.4,Online,1
STU_00375,17.3,83.6,61.2,7.6,Self_Study,1
STU_00376,33.7,89.4,58.3,6.0,Offline,1
STU_00377,26.8,86.9,30.2,6.7,Self_Study,1
STU_00378,46.9,72.4,87.9,6.1,Offline,1
STU_00379,16.9,72.8,64.4,9.7,Self_Study,1
STU_00380,16.6,100.0,39.1,6.7,Self_Study,1
STU_00381,19.0,89.2,22.8,7.2,Self_Study,0
STU_00382,3.8,61.2,18.1,6.1,Offline,1
STU_00383,19.7,76.5,73.9,5.8,Offline,1
STU_00384,17.4,70.0,48.9,4.5,Self_Study,1
STU_00385,26.5,73.0,51.8,8.1,Self_Study,1
STU_00386,28.4,56.6,68.8,7.7,Offline,1
STU_00387,43.8,68.8,50.7,6.0,Offline,1
STU_00388,34.5,,69.8,5.1,Offline,1
STU_00389,19.2,83.7,61.7,6.8,Online,1
STU_00390,16.0,,58.5,5.8,Online,0
STU_00391,29.9,93.3,31.7,6.2,Online,0
STU_00392,11.8,91.3,45.2,4.6,Self_Study,1
STU_00393,43.3,69.6,70.8,6.8,Online,1
STU_00394,36.8,85.8,47.7,6.9,Offline,1
STU_00395,20.3,62.1,81.7,8.1,Self_Study,1
STU_00396,7.9,67.9,100.0,6.3,Online,1
STU_00397,38.5,97.5,71.8,6.0,Online,1
STU_00398,23.9,70.9,86.9,4.2,Self_Study,1
STU_00399,37.4,47.0,73.0,8.2,Offline,1
STU_00400,9.1,74.1,50.4,7.8,Online,1
STU_00401,19.0,73.8,63.6,6.5,Self_Study,0
STU_00402,25.1,93.0,96.2,4.5,Self_Study,0
STU_00403,25.5,75.2,50.6,4.7,Self_Study,1
STU_00404,20.5,68.7,41.3,5.7,Online,1
STU_00405,31.2,90.7,39.6,7.9,Offline,1
STU_00406,14.3,76.8,56.1,6.9,Offline,1
STU_00407,23.6,63.7,41.9,4.3,Offline,1
STU_00408,26.2,92.3,90.1,7.1,Online,1
STU_00409,30.1,77.9,63.9,5.2,Online,0
STU_00410,32.1,75.0,77.5,5.7,Offline,1
STU_00411,13.8,77.7,54.6,8.0,Offline,1
STU_00412,9.7,58.9,39.5,7.6,Online,1
STU_00413,37.8,67.1,36.4,8.1,Self_Study,1
STU_00414,28.3,75.1,43.7,6.5,Offline,0
STU_00415,17.5,72.1,66.3,7.8,Online,0
STU_00416,40.5,94.1,69.4,5.6,Offline,1
STU_00417,26.2,78.3,70.9,6.1,Offline,1
STU_00418,36.8,87.8,33.2,6.0,Offline,0
STU_00419,25.7,75.1,60.0,6.5,Online,1
STU_00420,45.6,90.8,41.5,4.6,Online,1
STU_00421,42.6,81.0,67.2,6.2,Offline,1
STU_00422,22.5,75.2,68.6,8.7,Self_Study,1
STU_00423,34.7,74.8,38.9,4.9,Online,1
STU_00424,31.5,60.7,77.4,4.5,Offline,1
STU_00425,38.7,82.6,100.0,4.6,Online,1
STU_00426,15.4,74.4,75.0,10.0,Online,1
STU_00427,31.9,67.5,57.1,7.2,Online,1
STU_00428,35.6,91.6,54.3,6.1,Self_Study,0
STU_00429,7.4,56.2,56.2,6.6,Online,1
STU_00430,13.2,68.7,46.3,6.8,Online,1
STU_00431,4.6,90.4,64.5,5.5,Offline,1
STU_00432,22.3,79.7,39.5,5.7,Online,0
STU_00433,32.2,74.3,26.0,6.3,Online,1
STU_00434,40.0,78.8,64.0,5.4,Online,1
STU_00435,25.7,77.7,60.4,5.9,Self_Study,1
STU_00436,41.3,52.3,49.7,7.0,Online,1
STU_00437,11.2,69.8,36.9,5.0,Self_Study,1
STU_00438,8.0,99.2,65.2,10.0,Online,0
STU_00439,24.4,65.1,42.2,7.6,Online,1
STU_00440,28.8,70.2,57.5,4.6,Self_Study,0
STU_00441,24.7,66.9,91.8,3.0,Offline,1
STU_00442,4.3,73.7,71.7,5.5,Offline,1
STU_00443,24.1,66.3,35.4,7.5,Offline,0
STU_00444,12.0,82.3,37.1,7.2,Online,0
STU_00445,31.7,78.0,62.7,6.3,Offline,1
STU_00446,28.7,86.6,35.2,5.6,Offline,1
STU_00447,15.6,59.2,24.0,5.1,Online,0
STU_00448,19.9,69.9,69.6,5.9,Self_Study,1
STU_00449,14.4,71.6,65.8,5.0,Offline,1
STU_00450,24.4,81.8,68.1,5.9,Online,1
STU_00451,34.6,63.1,64.7,8.5,Online,1
STU_00452,15.1,88.7,58.8,5.3,Self_Study,1
STU_00453,30.0,92.8,48.1,7.4,Offline,0
STU_00454,19.7,60.2,69.3,7.6,Offline,1
STU_00455,17.1,67.6,87.5,4.9,Self_Study,1
STU_00456,23.9,67.0,51.0,5.2,Offline,1
STU_00457,14.6,100.0,41.6,8.1,Offline,1
STU_00458,19.5,68.6,39.6,5.1,Online,1
STU_00459,13.0,100.0,44.4,6.4,Offline,1
STU_00460,44.6,56.0,63.6,9.6,Offline,1
STU_00461,25.4,60.2,21.5,8.0,Self_Study,0
STU_00462,18.0,64.7,67.9,6.6,Online,1
STU_00463,27.1,62.3,71.6,7.8,Online,1
STU_00464,23.9,71.0,27.6,6.4,Online,1
STU_00465,22.8,64.4,42.4,8.0,Offline,0
STU_00466,31.1,62.7,61.4,3.4,Online,1
STU_00467,32.6,92.4,57.4,6.3,Self_Study,0
STU_00468,19.7,93.4,69.4,3.4,Self_Study,0
STU_00469,19.2,89.2,57.5,6.7,Offline,1
STU_00470,22.2,82.9,82.8,6.1,Online,1
STU_00471,2.0,76.4,54.2,8.5,Online,1
STU_00472,9.8,67.5,42.3,7.6,Self_Study,1
STU_00473,38.7,60.7,40.9,5.7,Online,0
STU_00474,41.4,80.4,73.2,5.9,Offline,1
STU_00475,22.5,57.4,60.5,7.1,Offline,1
STU_00476,30.8,60.1,71.4,5.6,Self_Study,1
STU_00477,28.1,92.3,71.0,6.5,Online,1
STU_00478,55.8,100.0,23.6,8.5,Online,1
STU_00479,36.2,80.9,39.5,5.3,Offline,1
STU_00480,23.7,91.6,41.6,5.8,Online,0
STU_00481,15.4,71.3,45.3,6.0,Offline,1
STU_00482,8.9,54.9,52.4,10.0,Online,1
STU_00483,27.0,84.2,78.0,7.4,Offline,1
STU_00484,17.4,83.5,81.6,8.2,Offline,1
STU_00485,10.8,76.1,54.7,7.7,Offline,1
STU_00486,18.5,71.4,55.5,7.8,Self_Study,0
STU_00487,14.2,89.4,47.3,7.2,Self_Study,1
STU_00488,41.9,60.2,61.6,7.0,Self_Study,1
STU_00489,33.8,63.4,63.6,4.3,Self_Study,1
STU_00490,24.9,59.9,74.5,7.0,Offline,1
STU_00491,39.8,76.3,74.4,6.3,Online,1
STU_00492,25.8,58.7,18.6,7.3,Offline,0
STU_00493,16.4,64.7,57.3,6.4,Online,1
STU_00494,40.2,64.4,84.9,7.6,Online,1
