Character_ID,Weapon_Type,Movement_Speed,Attack_Power,Defense_Power
CHAR_07602,Sword,118,96,17.0
CHAR_07606,Shield,107,89,14.0
CHAR_06081,Staff,123,86,20.0
CHAR_02960,Bow,129,16,16.0
CHAR_02183,Bow,127,27,22.0
CHAR_10964,Bow,101,60,55.0
CHAR_04168,Shield,104,27,79.0
CHAR_05719,Staff,129,15,95.0
CHAR_11203,Staff,99,65,37.0
CHAR_11555,Shield,144,55,51.0
CHAR_07091,Sword,112,86,25.0
CHAR_09326,Sword,96,52,53.0
CHAR_06714,Bow,72,86,25.0
CHAR_00200,Shield,73,22,21.0
CHAR_11772,Shield,120,66,57.0
CHAR_02210,Staff,145,14,21.0
CHAR_08251,Shield,136,86,19.0
CHAR_07838,Staff,70,84,21.0
CHAR_09119,Shield,61,34,56.0
CHAR_08761,Sword,143,88,20.0
CHAR_09117,Sword,82,58,72.0
CHAR_11718,Staff,124,59,58.0
CHAR_02444,Shield,139,17,24.0
CHAR_03312,Shield,64,13,91.0
CHAR_00218,Staff,101,18,16.0
CHAR_02615,Sword,111,23,7.0
CHAR_08029,Shield,100,94,23.0
CHAR_03777,Shield,87,22,86.0
CHAR_04629,Sword,70,22,96.0
CHAR_10736,Bow,112,72,51.0
CHAR_09192,Staff,142,55,65.0
CHAR_11998,Bow,135,56,56.0
CHAR_11751,Sword,125,43,47.0
CHAR_07189,Sword,111,85,24.0
CHAR_11590,Staff,131,47,54.0
CHAR_01670,Staff,102,19,23.0
CHAR_01188,Sword,73,23,18.0
CHAR_01614,Staff,124,19,20.0
CHAR_02340,Bow,112,23,15.0
CHAR_05667,Shield,118,16,82.0
CHAR_02873,Bow,101,17,15.0
CHAR_05943,Staff,53,22,88.0
CHAR_03017,Shield,68,21,81.0
CHAR_04092,Shield,149,11,70.0
CHAR_03290,Staff,71,19,81.0
CHAR_00095,Sword,88,13,26.0
CHAR_03403,Bow,139,23,84.0
CHAR_11577,Bow,73,60,53.0
CHAR_07188,Shield,143,90,20.0
CHAR_05802,Sword,69,23,82.0
CHAR_03098,Bow,66,21,86.0
CHAR_03418,Sword,59,23,86.0
CHAR_07634,Staff,98,72,24.0
CHAR_11043,Sword,77,47,48.0
CHAR_09717,Shield,85,47,45.0
CHAR_01413,Bow,113,31,8.0
CHAR_11793,Staff,51,58,49.0
CHAR_07315,Shield,108,87,28.0
CHAR_01373,Shield,59,12,21.0
CHAR_02360,Staff,109,15,20.0
CHAR_02057,Bow,67,24,20.0
CHAR_03148,Sword,132,11,82.0
CHAR_05013,Sword,145,20,80.0
CHAR_04504,Shield,125,16,85.0
CHAR_09403,Bow,95,55,62.0
CHAR_09646,Sword,102,54,71.0
CHAR_04404,Staff,91,15,82.0
CHAR_00856,Shield,75,16,13.0
CHAR_05176,Shield,95,30,87.0
CHAR_10549,Sword,114,57,58.0
CHAR_10658,Sword,102,38,57.0
CHAR_02319,Shield,137,14,23.0
CHAR_09761,Shield,94,57,56.0
CHAR_08031,Sword,81,88,22.0
CHAR_05062,Bow,145,11,74.0
CHAR_01208,Sword,62,13,16.0
CHAR_10129,Sword,101,56,51.0
CHAR_11811,Sword,125,46,49.0
CHAR_08893,Staff,75,75,24.0
CHAR_06498,Bow,53,84,27.0
CHAR_09517,Bow,118,56,55.0
CHAR_01277,Staff,80,22,15.0
CHAR_02471,Staff,106,32,22.0
CHAR_03938,Staff,147,17,77.0
CHAR_00101,Shield,87,18,24.0
CHAR_06899,Shield,65,90,14.0
CHAR_00724,Staff,89,21,17.0
CHAR_04816,Shield,148,17,86.0
CHAR_02377,Staff,73,13,9.0
CHAR_00812,Sword,116,27,16.0
CHAR_00304,Sword,74,20,26.0
CHAR_08937,Sword,65,85,23.0
CHAR_05403,Staff,107,19,79.0
CHAR_04640,Bow,100,8,87.0
CHAR_08697,Shield,64,80,19.0
CHAR_06365,Staff,133,75,17.0
CHAR_00099,Sword,58,19,23.0
CHAR_05099,Shield,59,21,84.0
CHAR_00850,Sword,55,17,17.0
CHAR_05702,Sword,139,11,75.0
CHAR_00385,Bow,60,21,17.0
CHAR_04785,Staff,51,20,90.0
CHAR_04043,Sword,54,11,86.0
CHAR_09780,Bow,146,53,62.0
CHAR_07883,Shield,130,97,20.0
CHAR_10786,Bow,98,64,53.0
CHAR_09901,Shield,94,58,57.0
CHAR_08253,Staff,129,90,22.0
CHAR_06412,Shield,147,86,17.0
CHAR_08301,Shield,140,80,14.0
CHAR_05385,Bow,110,11,84.0
CHAR_10717,Staff,71,51,
CHAR_10331,Shield,110,50,52.0
CHAR_08720,Staff,106,90,13.0
CHAR_10938,Shield,76,54,53.0
CHAR_10444,Bow,105,52,70.0
CHAR_02732,Staff,56,23,25.0
CHAR_09445,Shield,97,63,59.0
CHAR_09598,Staff,124,54,62.0
CHAR_00461,Shield,122,20,29.0
CHAR_10567,Staff,86,54,74.0
CHAR_00119,Sword,55,24,28.0
CHAR_01570,Bow,115,24,17.0
CHAR_07735,Staff,51,90,20.0
CHAR_08618,Staff,78,93,24.0
CHAR_00357,Bow,62,19,9.0
CHAR_04308,Bow,94,14,84.0
CHAR_03909,Sword,72,15,93.0
CHAR_02046,Bow,108,20,10.0
CHAR_05365,Sword,147,22,89.0
CHAR_02150,Staff,136,19,31.0
CHAR_08122,Shield,80,90,19.0
CHAR_04048,Staff,126,12,88.0
CHAR_01981,Shield,121,13,24.0
CHAR_01402,Sword,75,26,16.0
CHAR_10591,Shield,145,48,56.0
CHAR_05583,Sword,82,24,
CHAR_00396,Shield,140,11,23.0
CHAR_01039,Bow,143,25,17.0
CHAR_10609,Bow,86,49,62.0
CHAR_01586,Bow,109,21,25.0
CHAR_03691,Sword,88,16,83.0
CHAR_05425,Sword,109,20,83.0
CHAR_00379,Sword,139,16,16.0
CHAR_07802,Staff,93,100,20.0
CHAR_02142,Staff,86,21,25.0
CHAR_04128,Sword,129,21,86.0
CHAR_02459,Shield,116,22,
CHAR_11278,Bow,87,47,67.0
CHAR_01053,Sword,118,21,21.0
CHAR_01786,Sword,55,18,24.0
CHAR_08204,Bow,116,93,12.0
CHAR_04842,Bow,121,24,80.0
CHAR_10319,Staff,128,57,53.0
CHAR_10287,Staff,53,61,57.0
CHAR_02245,Shield,118,21,20.0
CHAR_08607,Shield,140,79,21.0
CHAR_07282,Bow,62,86,25.0
CHAR_07841,Shield,64,86,26.0
CHAR_03819,Shield,108,17,92.0
CHAR_03378,Staff,65,25,83.0
CHAR_03921,Sword,120,16,86.0
CHAR_09604,Shield,74,42,58.0
CHAR_02963,Sword,145,15,13.0
CHAR_09863,Bow,55,60,47.0
CHAR_07620,Shield,112,94,16.0
CHAR_01496,Staff,66,30,16.0
CHAR_07466,Bow,142,88,20.0
CHAR_05763,Bow,63,23,86.0
CHAR_03702,Shield,77,7,89.0
CHAR_03894,Staff,116,16,84.0
CHAR_09318,Sword,142,49,54.0
CHAR_06466,Staff,52,83,25.0
CHAR_03660,Shield,120,25,85.0
CHAR_02085,Staff,142,14,32.0
CHAR_09818,Sword,133,53,54.0
CHAR_04253,Bow,94,26,80.0
CHAR_02351,Bow,98,23,22.0
CHAR_04375,Staff,101,32,88.0
CHAR_00554,Sword,83,22,11.0
CHAR_07085,Shield,100,82,28.0
CHAR_07457,Staff,61,85,11.0
CHAR_09572,Bow,95,49,46.0
CHAR_05020,Bow,72,6,88.0
CHAR_00668,Sword,121,7,19.0
CHAR_03742,Staff,109,11,76.0
CHAR_00047,Sword,90,25,18.0
CHAR_10060,Shield,108,56,51.0
CHAR_10039,Shield,88,63,52.0
CHAR_06839,Shield,123,87,16.0
CHAR_11950,Shield,121,68,42.0
CHAR_01178,Sword,147,15,29.0
CHAR_07601,Staff,135,85,19.0
CHAR_10961,Shield,147,50,54.0
CHAR_02991,Shield,143,23,22.0
CHAR_01783,Sword,96,24,15.0
CHAR_04872,Shield,52,37,89.0
CHAR_05847,Sword,145,21,77.0
CHAR_02218,Staff,136,30,17.0
CHAR_10447,Staff,79,48,56.0
CHAR_03914,Staff,107,26,
CHAR_03222,Staff,90,19,91.0
CHAR_05138,Sword,107,10,82.0
CHAR_05100,Bow,72,6,87.0
CHAR_04420,Bow,127,17,91.0
CHAR_04313,Bow,119,8,90.0
CHAR_03003,Shield,94,17,73.0
CHAR_06682,Bow,118,89,24.0
CHAR_00245,Sword,66,18,24.0
CHAR_09362,Shield,77,61,54.0
CHAR_03529,Staff,105,15,84.0
CHAR_09533,Bow,104,47,43.0
CHAR_08141,Shield,59,82,34.0
CHAR_09858,Staff,96,45,47.0
CHAR_07689,Staff,121,90,23.0
CHAR_10864,Sword,72,64,56.0
CHAR_02039,Bow,100,11,22.0
CHAR_01022,Sword,63,20,11.0
CHAR_02688,Sword,103,24,14.0
CHAR_08134,Shield,63,86,20.0
CHAR_11626,Bow,51,41,57.0
CHAR_08116,Sword,63,88,15.0
CHAR_10259,Bow,140,51,47.0
CHAR_04693,Shield,73,19,84.0
CHAR_02372,Shield,144,21,15.0
CHAR_05838,Staff,108,29,96.0
CHAR_10696,Sword,135,50,46.0
CHAR_04867,Bow,137,25,80.0
CHAR_11701,Sword,74,46,50.0
CHAR_01692,Bow,136,24,25.0
CHAR_11594,Sword,92,55,56.0
CHAR_10307,Bow,109,62,45.0
CHAR_01491,Sword,88,33,
CHAR_03785,Shield,59,17,86.0
CHAR_03652,Staff,109,16,86.0
CHAR_03671,Bow,101,16,87.0
CHAR_10934,Staff,123,64,47.0
CHAR_08565,Sword,83,84,22.0
CHAR_08572,Bow,83,86,19.0
CHAR_10614,Shield,91,61,39.0
CHAR_05265,Staff,110,19,93.0
CHAR_03448,Bow,77,6,83.0
CHAR_03679,Staff,146,17,85.0
CHAR_06189,Shield,127,80,20.0
CHAR_07444,Shield,68,100,18.0
CHAR_06877,Sword,69,90,19.0
CHAR_04467,Sword,63,18,92.0
CHAR_04097,Bow,126,20,87.0
CHAR_07337,Staff,121,81,17.0
CHAR_04156,Staff,108,27,78.0
CHAR_07134,Staff,139,84,13.0
CHAR_05211,Staff,83,24,85.0
CHAR_04680,Bow,89,23,80.0
CHAR_02629,Bow,149,18,22.0
CHAR_06363,Shield,126,82,26.0
CHAR_02531,Staff,59,15,16.0
CHAR_01512,Bow,110,16,17.0
CHAR_04004,Shield,72,24,92.0
CHAR_04464,Sword,85,33,83.0
CHAR_01010,Shield,140,27,20.0
CHAR_06507,Shield,92,82,18.0
CHAR_11105,Shield,50,51,49.0
CHAR_02422,Sword,86,19,25.0
CHAR_02054,Shield,52,13,14.0
CHAR_10306,Bow,110,57,50.0
CHAR_07637,Staff,70,76,15.0
CHAR_06127,Staff,61,90,22.0
CHAR_05572,Bow,90,22,82.0
CHAR_00908,Staff,110,23,23.0
CHAR_11097,Staff,111,68,53.0
CHAR_07698,Staff,61,79,26.0
CHAR_08079,Bow,98,89,24.0
CHAR_08982,Bow,116,76,22.0
CHAR_06311,Shield,96,88,19.0
CHAR_00214,Bow,115,18,24.0
CHAR_02986,Shield,69,19,16.0
CHAR_09099,Staff,113,58,70.0
CHAR_03115,Staff,54,14,90.0
CHAR_07261,Bow,141,85,25.0
CHAR_11101,Staff,111,49,47.0
CHAR_06188,Staff,123,76,22.0
CHAR_10548,Sword,68,43,49.0
CHAR_06455,Bow,90,82,30.0
CHAR_00014,Bow,61,11,17.0
CHAR_02802,Bow,94,22,18.0
CHAR_11514,Staff,100,49,54.0
CHAR_01701,Staff,59,22,13.0
CHAR_02701,Bow,69,25,19.0
CHAR_01320,Sword,134,20,20.0
CHAR_10080,Sword,139,52,53.0
CHAR_10140,Bow,126,63,49.0
CHAR_08062,Staff,117,80,17.0
CHAR_05028,Sword,110,10,87.0
CHAR_00518,Bow,137,20,26.0
CHAR_10443,Staff,118,61,54.0
CHAR_03540,Sword,109,22,87.0
CHAR_11941,Sword,107,59,62.0
CHAR_11835,Sword,94,54,61.0
CHAR_10458,Staff,125,63,50.0
CHAR_04410,Staff,109,26,85.0
CHAR_05700,Sword,133,30,89.0
CHAR_02380,Shield,138,15,17.0
CHAR_02102,Bow,146,16,21.0
CHAR_06830,Sword,68,91,20.0
CHAR_06906,Shield,60,85,28.0
CHAR_07845,Staff,56,83,22.0
CHAR_10095,Shield,123,56,66.0
CHAR_10820,Staff,137,49,65.0
CHAR_01643,Shield,96,22,27.0
CHAR_00031,Bow,134,29,17.0
CHAR_02227,Staff,62,17,22.0
CHAR_09291,Staff,132,55,55.0
CHAR_10504,Shield,66,47,56.0
CHAR_07171,Shield,139,92,23.0
CHAR_01791,Staff,67,21,18.0
CHAR_05398,Bow,71,24,85.0
CHAR_07172,Bow,87,81,16.0
CHAR_00673,Shield,77,18,24.0
CHAR_00050,Sword,145,22,13.0
CHAR_00483,Bow,147,21,20.0
CHAR_01923,Sword,133,21,27.0
CHAR_11779,Bow,96,65,58.0
CHAR_09221,Bow,63,61,60.0
CHAR_10515,Staff,104,58,47.0
CHAR_00927,Sword,105,22,22.0
CHAR_05531,Shield,145,11,87.0
CHAR_04919,Shield,96,23,83.0
CHAR_08498,Bow,102,89,21.0
CHAR_01950,Bow,71,11,21.0
CHAR_08075,Staff,100,82,24.0
CHAR_02167,Staff,118,14,19.0
CHAR_07068,Shield,95,79,9.0
CHAR_04924,Staff,147,18,85.0
CHAR_08384,Staff,101,94,10.0
CHAR_03034,Shield,113,11,85.0
CHAR_11913,Staff,75,56,58.0
CHAR_07060,Bow,120,88,18.0
CHAR_09338,Bow,106,70,58.0
CHAR_07905,Bow,85,72,30.0
CHAR_04606,Staff,113,15,88.0
CHAR_02348,Staff,147,23,10.0
CHAR_01347,Sword,123,25,12.0
CHAR_02766,Shield,54,20,23.0
CHAR_04040,Bow,124,25,86.0
CHAR_02236,Staff,147,20,13.0
CHAR_05716,Staff,134,24,87.0
CHAR_10118,Sword,77,47,55.0
CHAR_07403,Sword,120,80,30.0
CHAR_07985,Bow,71,81,21.0
CHAR_11226,Bow,77,50,43.0
CHAR_01430,Bow,104,22,11.0
CHAR_01275,Shield,93,21,19.0
CHAR_07755,Bow,86,80,14.0
CHAR_10181,Shield,94,44,53.0
CHAR_06515,Bow,133,85,31.0
CHAR_03154,Shield,56,24,83.0
CHAR_03369,Sword,105,17,87.0
CHAR_10902,Shield,58,42,49.0
CHAR_05635,Shield,134,13,86.0
CHAR_04708,Staff,55,16,84.0
CHAR_04838,Sword,94,18,82.0
CHAR_03048,Bow,98,12,84.0
CHAR_07810,Sword,117,97,21.0
CHAR_11175,Staff,86,53,51.0
CHAR_09799,Staff,115,64,55.0
CHAR_05580,Bow,109,21,84.0
CHAR_07807,Shield,74,79,28.0
CHAR_03288,Staff,111,29,85.0
CHAR_02012,Staff,127,16,20.0
CHAR_07092,Shield,69,88,
CHAR_01453,Bow,139,33,21.0
CHAR_01078,Sword,104,28,18.0
CHAR_06463,Bow,60,84,24.0
CHAR_10501,Sword,97,56,63.0
CHAR_00434,Sword,97,28,31.0
CHAR_07195,Staff,73,76,15.0
CHAR_00613,Staff,123,14,22.0
CHAR_11925,Sword,136,54,51.0
CHAR_02993,Shield,101,19,23.0
CHAR_11662,Staff,140,59,63.0
CHAR_01111,Shield,64,21,16.0
CHAR_07247,Sword,117,84,15.0
CHAR_07709,Shield,117,89,25.0
CHAR_10790,Staff,89,61,66.0
CHAR_01282,Staff,72,24,26.0
CHAR_02453,Staff,136,16,14.0
CHAR_10512,Bow,127,51,52.0
CHAR_07890,Sword,51,89,22.0
CHAR_11958,Sword,88,50,60.0
CHAR_06592,Shield,119,80,16.0
CHAR_08366,Staff,65,81,18.0
CHAR_00914,Staff,116,20,13.0
CHAR_05281,Shield,117,28,83.0
CHAR_05836,Staff,85,17,85.0
CHAR_09327,Sword,92,59,46.0
CHAR_01197,Sword,53,23,12.0
CHAR_06387,Shield,77,77,25.0
CHAR_09566,Sword,76,55,49.0
CHAR_07733,Bow,128,77,15.0
CHAR_02876,Bow,116,15,12.0
CHAR_08323,Shield,106,83,29.0
CHAR_05908,Staff,148,23,81.0
CHAR_07998,Staff,83,86,25.0
CHAR_00107,Shield,96,21,23.0
CHAR_03689,Staff,82,16,87.0
CHAR_04607,Sword,97,16,84.0
CHAR_09975,Sword,59,50,53.0
CHAR_11334,Shield,106,59,55.0
CHAR_08091,Sword,87,83,23.0
CHAR_08216,Bow,60,85,21.0
CHAR_00967,Bow,108,29,11.0
CHAR_06249,Staff,90,83,16.0
CHAR_00217,Sword,81,19,17.0
CHAR_02982,Sword,109,24,30.0
CHAR_07443,Staff,66,87,24.0
CHAR_05579,Shield,101,23,81.0
CHAR_07699,Bow,73,88,26.0
CHAR_08475,Shield,136,88,36.0
CHAR_04950,Sword,80,12,81.0
CHAR_00510,Sword,132,21,26.0
CHAR_05234,Sword,79,26,84.0
CHAR_06820,Shield,142,94,19.0
CHAR_04483,Bow,59,18,89.0
CHAR_06062,Shield,135,81,23.0
CHAR_00573,Sword,112,19,21.0
CHAR_06575,Sword,57,78,23.0
CHAR_00039,Sword,124,21,19.0
CHAR_04217,Staff,136,29,69.0
CHAR_03910,Sword,86,7,86.0
CHAR_01623,Bow,74,17,24.0
CHAR_07281,Shield,146,85,17.0
CHAR_01414,Sword,61,17,21.0
CHAR_02564,Shield,107,16,20.0
CHAR_06848,Bow,124,76,27.0
CHAR_02406,Shield,130,14,12.0
CHAR_08844,Sword,129,86,8.0
CHAR_08643,Shield,107,82,29.0
CHAR_05226,Shield,60,17,100.0
CHAR_03284,Sword,137,16,86.0
CHAR_05478,Sword,138,33,77.0
CHAR_00346,Sword,67,13,19.0
CHAR_07222,Shield,104,90,21.0
CHAR_07110,Sword,121,93,19.0
CHAR_02628,Staff,59,18,16.0
CHAR_09843,Bow,54,57,54.0
CHAR_03314,Sword,148,27,84.0
CHAR_07632,Sword,129,92,27.0
CHAR_03043,Shield,85,18,74.0
CHAR_10670,Sword,56,45,55.0
CHAR_04993,Sword,60,25,82.0
CHAR_07422,Sword,62,81,11.0
CHAR_04047,Sword,109,19,86.0
CHAR_09057,Staff,80,46,50.0
CHAR_11995,Staff,117,52,63.0
CHAR_05034,Sword,111,18,80.0
CHAR_04610,Sword,80,21,84.0
CHAR_11956,Sword,115,53,60.0
CHAR_05335,Staff,98,22,79.0
CHAR_09591,Staff,116,42,41.0
CHAR_11791,Bow,87,46,55.0
CHAR_05011,Shield,149,23,84.0
CHAR_09039,Sword,118,52,56.0
CHAR_00937,Sword,138,24,13.0
CHAR_04532,Bow,63,21,82.0
CHAR_04844,Staff,144,30,83.0
CHAR_03464,Shield,108,13,88.0
CHAR_08069,Staff,115,80,11.0
CHAR_00177,Staff,138,27,17.0
CHAR_07333,Staff,134,99,22.0
CHAR_03602,Shield,84,25,86.0
CHAR_08302,Staff,125,94,19.0
CHAR_07501,Staff,113,86,26.0
CHAR_10631,Bow,84,69,45.0
CHAR_01219,Sword,113,31,11.0
CHAR_08310,Bow,140,85,17.0
CHAR_11353,Bow,67,66,60.0
CHAR_07019,Staff,71,83,26.0
CHAR_09842,Bow,97,65,48.0
CHAR_00457,Sword,117,15,18.0
CHAR_05064,Staff,55,15,93.0
CHAR_01157,Shield,125,31,18.0
CHAR_09514,Shield,122,54,47.0
CHAR_03238,Staff,119,15,80.0
CHAR_09830,Shield,61,49,71.0
