Car_ID,Year,Mileage,Engine_Size,Fuel_Type,Accident_History,Price
CAR_00082,2022,78583.0,2.5,Hybrid,No,3120.0
CAR_00083,2017,55354.0,3.0,Petrol,No,2780.0
CAR_00084,2024,52476.0,3.5,Petrol,No,4770.0
CAR_00085,2012,94264.0,2.0,Petrol,No,1620.0
CAR_00086,2023,153106.0,3.0,Hybrid,No,3160.0
CAR_00087,2010,45168.0,3.0,Petrol,Yes,1680.0
CAR_00088,2013,143313.0,1.6,Petrol,Yes,400.0
CAR_00089,2011,9124.0,3.0,Diesel,Yes,2280.0
CAR_00090,2017,86692.0,2.0,Petrol,No,2070.0
CAR_00091,2013,156294.0,2.5,Petrol,No,1020.0
CAR_00092,2011,71053.0,1.0,Petrol,No,1040.0
CAR_00093,2023,114929.0,1.6,Diesel,Yes,2100.0
CAR_00094,2015,44971.0,2.0,Diesel,No,1800.0
CAR_00095,2015,149689.0,1.6,Hybrid,No,1140.0
CAR_00096,2019,15194.0,3.5,Hybrid,No,4440.0
CAR_00097,2013,171246.0,2.5,Petrol,No,660.0
CAR_00098,2015,43648.0,3.0,Diesel,No,2570.0
CAR_00099,2022,175508.0,3.5,Petrol,No,2670.0
CAR_00100,2024,73743.0,3.0,Petrol,No,3540.0
CAR_00101,2011,145923.0,2.0,Petrol,No,990.0
CAR_00102,2019,67249.0,2.5,Petrol,No,2950.0
CAR_00103,2021,181653.0,1.0,Petrol,No,980.0
CAR_00104,2011,29694.0,1.0,Petrol,No,1330.0
CAR_00105,2019,39811.0,3.0,Diesel,No,3440.0
CAR_00106,2023,101141.0,3.5,Petrol,Yes,3340.0
CAR_00107,2013,20978.0,2.5,Diesel,Yes,2160.0
CAR_00108,2023,43216.0,2.5,Petrol,No,3740.0
CAR_00109,2024,189034.0,2.0,Petrol,No,2270.0
CAR_00110,2025,195415.0,3.5,Petrol,No,3120.0
CAR_00111,2024,78371.0,1.0,Petrol,Yes,2220.0
CAR_00112,2017,185041.0,2.0,Petrol,Yes,910.0
CAR_00113,2023,111241.0,1.6,Diesel,No,2670.0
CAR_00114,2016,57600.0,2.5,Diesel,No,2450.0
CAR_00115,2021,141968.0,1.0,Petrol,No,2070.0
CAR_00116,2018,133486.0,2.0,Petrol,No,1850.0
CAR_00117,2023,197879.0,3.0,Hybrid,No,2770.0
CAR_00118,2017,56684.0,1.6,Petrol,No,2190.0
CAR_00119,2014,136052.0,2.0,Petrol,No,1180.0
CAR_00120,2025,15145.0,3.0,Diesel,Yes,4370.0
CAR_00121,2022,27161.0,1.0,Diesel,No,2750.0
CAR_00122,2011,5764.0,1.0,Diesel,No,1740.0
CAR_00123,2024,199895.0,1.6,Diesel,No,1650.0
CAR_00124,2014,161443.0,3.0,Petrol,No,1660.0
CAR_00125,2017,158411.0,2.5,Petrol,No,1660.0
CAR_00126,2019,104397.0,1.0,Petrol,Yes,1920.0
CAR_00127,2018,63513.0,3.5,Diesel,No,3510.0
CAR_00128,2021,34497.0,2.5,Hybrid,Yes,3650.0
CAR_00129,2021,60512.0,2.5,Petrol,No,3320.0
CAR_00130,2021,78314.0,2.0,Petrol,No,3070.0
CAR_00131,2022,152480.0,2.0,Petrol,No,2430.0
CAR_00132,2018,110234.0,1.0,Petrol,No,1210.0
CAR_00133,2022,,2.5,Petrol,No,3670.0
CAR_00134,2024,8516.0,2.0,Diesel,No,3830.0
CAR_00135,2022,24955.0,3.0,Hybrid,No,4090.0
CAR_00136,2010,85047.0,3.0,Petrol,Yes,1300.0
CAR_00137,2018,186973.0,3.0,Petrol,Yes,1630.0
CAR_00138,2016,129293.0,3.0,Petrol,No,2340.0
CAR_00139,2018,161356.0,2.5,Petrol,Yes,1660.0
CAR_00140,2017,95943.0,3.0,Petrol,No,2840.0
CAR_00141,2010,75525.0,2.5,Diesel,No,1280.0
CAR_00142,2021,26138.0,1.0,Petrol,No,2790.0
CAR_00143,2017,175807.0,1.0,Hybrid,No,940.0
CAR_00144,2017,157716.0,3.0,Diesel,No,1840.0
CAR_00145,2024,37783.0,3.0,Diesel,No,4000.0
CAR_00146,2020,104891.0,3.0,Petrol,Yes,2730.0
CAR_00147,2012,100038.0,1.0,Diesel,No,660.0
CAR_00148,2010,126893.0,2.0,Petrol,No,890.0
CAR_00149,2017,189506.0,1.0,Petrol,No,410.0
CAR_00150,2012,118055.0,3.0,Petrol,No,1790.0
CAR_00151,2012,110342.0,2.0,Hybrid,Yes,1140.0
CAR_00152,2010,14813.0,2.0,Petrol,No,1890.0
CAR_00153,2020,17267.0,1.6,Petrol,No,3180.0
CAR_00154,2014,41533.0,2.5,Petrol,Yes,2120.0
CAR_00155,2019,11332.0,3.0,Petrol,Yes,3420.0
CAR_00156,2016,149954.0,2.5,Petrol,Yes,1300.0
CAR_00157,2019,146049.0,1.6,Petrol,No,1750.0
CAR_00158,2018,31531.0,2.5,Diesel,Yes,2950.0
CAR_00159,2021,168035.0,3.0,Petrol,No,2380.0
CAR_00160,2016,35183.0,1.6,Diesel,No,2630.0
CAR_00161,2018,63729.0,2.5,Diesel,No,2740.0
CAR_00162,2017,53550.0,1.0,Petrol,No,1870.0
CAR_00163,2021,77600.0,2.0,Diesel,No,2840.0
CAR_00164,2011,54659.0,1.6,Diesel,Yes,950.0
CAR_00165,2010,100345.0,1.0,Diesel,No,590.0
CAR_00166,2025,84445.0,3.0,Diesel,Yes,3580.0
CAR_00167,2016,197381.0,2.0,Diesel,No,1070.0
CAR_00168,2016,15906.0,1.6,Petrol,No,2530.0
CAR_00169,2023,32725.0,2.0,Diesel,No,3600.0
CAR_00170,2017,15301.0,3.5,Petrol,No,3570.0
CAR_00171,2014,127039.0,3.5,Diesel,Yes,1940.0
CAR_00172,2012,15629.0,1.6,Petrol,No,1900.0
CAR_00173,2021,168106.0,1.6,Hybrid,No,2020.0
CAR_00174,2017,,2.5,Petrol,Yes,2160.0
CAR_00175,2015,107766.0,2.0,Diesel,No,1650.0
CAR_00176,2020,114511.0,3.5,Diesel,Yes,2780.0
CAR_00177,2012,38309.0,3.5,Hybrid,No,2820.0
CAR_00178,2010,43550.0,2.0,Diesel,No,1600.0
CAR_00179,2012,67169.0,3.5,Petrol,Yes,2240.0
CAR_00180,2014,120732.0,1.0,Hybrid,No,1250.0
CAR_00181,2024,45973.0,3.5,Diesel,No,4490.0
CAR_00182,2023,27685.0,3.5,Diesel,No,4670.0
CAR_00183,2012,194173.0,3.0,Hybrid,No,1070.0
CAR_00184,2010,9286.0,1.0,Petrol,No,1690.0
CAR_00185,2014,161526.0,2.5,Petrol,No,1440.0
CAR_00186,2019,158667.0,1.6,Diesel,Yes,1130.0
CAR_00187,2016,62957.0,3.5,Diesel,No,3180.0
CAR_00188,2024,31447.0,2.5,Petrol,No,3660.0
CAR_00189,2023,33398.0,2.5,Diesel,No,4110.0
CAR_00190,2016,140999.0,1.0,Petrol,Yes,680.0
CAR_00191,2020,130347.0,1.6,Diesel,No,1840.0
CAR_00192,2018,157635.0,3.0,Hybrid,No,1970.0
CAR_00193,2024,187809.0,2.5,Petrol,No,2440.0
CAR_00194,2024,139926.0,3.0,Diesel,No,3440.0
CAR_00195,2019,35391.0,1.6,Diesel,No,2840.0
CAR_00196,2019,52471.0,1.6,Petrol,No,2550.0
CAR_00197,2021,,1.0,Petrol,No,1420.0
CAR_00198,2022,45815.0,2.0,Petrol,No,3610.0
CAR_00199,2012,19142.0,3.5,Diesel,No,3000.0
CAR_00200,2024,142140.0,1.0,Petrol,Yes,1870.0
CAR_00201,2025,83493.0,3.0,Petrol,No,4100.0
CAR_00202,2016,184408.0,1.0,Petrol,No,710.0
CAR_00203,2010,131800.0,1.6,Petrol,No,300.0
CAR_00204,2013,22632.0,2.5,Diesel,No,2400.0
CAR_00205,2022,189832.0,3.5,Diesel,No,2940.0
CAR_00206,2025,55419.0,3.5,Petrol,No,4580.0
CAR_00207,2013,70756.0,2.0,Diesel,No,2100.0
CAR_00208,2023,83441.0,1.6,Diesel,No,3040.0
CAR_00209,2014,14989.0,3.5,Petrol,No,3060.0
CAR_00210,2016,101821.0,3.5,Petrol,Yes,2330.0
CAR_00211,2016,29047.0,2.5,Hybrid,No,3220.0
CAR_00212,2022,83189.0,3.0,Diesel,No,3470.0
CAR_00213,2024,73388.0,3.0,Diesel,No,3880.0
CAR_00214,2020,155704.0,3.0,Petrol,Yes,2550.0
CAR_00215,2022,161618.0,1.0,Hybrid,Yes,1540.0
CAR_00216,2013,34916.0,3.0,Diesel,No,2670.0
CAR_00217,2022,76477.0,3.0,Hybrid,No,3790.0
CAR_00218,2025,77804.0,1.0,Hybrid,No,3350.0
CAR_00219,2016,34525.0,2.5,Hybrid,Yes,2760.0
CAR_00220,2020,160698.0,1.6,Hybrid,Yes,1620.0
CAR_00221,2012,142910.0,3.5,Petrol,Yes,1720.0
CAR_00222,2015,42124.0,2.0,Hybrid,Yes,2210.0
CAR_00223,2021,76511.0,3.5,Petrol,No,3780.0
CAR_00224,2011,25632.0,3.0,Hybrid,No,2340.0
CAR_00225,2019,127500.0,3.0,Petrol,No,2580.0
CAR_00226,2022,,3.5,Diesel,Yes,3940.0
CAR_00227,2023,197257.0,3.5,Petrol,Yes,2410.0
CAR_00228,2018,157233.0,3.0,Diesel,Yes,1480.0
CAR_00229,2014,81097.0,1.0,Petrol,No,1220.0
CAR_00230,2015,117820.0,1.0,Petrol,No,900.0
CAR_00231,2021,182712.0,1.0,Hybrid,No,1740.0
CAR_00232,2021,113049.0,2.0,Diesel,No,2350.0
CAR_00233,2021,39027.0,1.6,Petrol,No,3190.0
CAR_00234,2021,78847.0,3.0,Petrol,No,3500.0
CAR_00235,2013,169413.0,2.5,Petrol,No,890.0
CAR_00236,2023,130622.0,3.5,Diesel,No,3220.0
CAR_00237,2023,131891.0,3.5,Hybrid,No,3520.0
CAR_00238,2020,174030.0,3.0,Diesel,No,2180.0
CAR_00239,2025,179325.0,3.0,Petrol,No,2760.0
CAR_00240,2019,184360.0,3.0,Petrol,No,1950.0
CAR_00241,2016,23496.0,3.5,Hybrid,No,3680.0
CAR_00242,2021,111105.0,3.0,Petrol,No,2800.0
CAR_00243,2018,149399.0,3.5,Diesel,No,2420.0
CAR_00244,2016,152601.0,1.6,Petrol,No,1070.0
CAR_00245,2023,123310.0,2.5,Diesel,Yes,2690.0
CAR_00246,2010,37524.0,1.0,Hybrid,No,1700.0
CAR_00247,2010,160497.0,2.5,Petrol,No,340.0
CAR_00248,2018,,3.0,Diesel,Yes,1920.0
CAR_00249,2020,21796.0,2.5,Diesel,No,3590.0
CAR_00250,2023,95443.0,3.0,Petrol,No,3390.0
CAR_00251,2018,38926.0,2.5,Petrol,No,3130.0
CAR_00252,2013,70808.0,2.0,Diesel,No,1450.0
CAR_00253,2022,8526.0,2.5,Petrol,No,3890.0
CAR_00254,2018,83064.0,1.0,Hybrid,No,1540.0
CAR_00255,2012,112226.0,1.0,Petrol,No,630.0
CAR_00256,2016,125819.0,2.5,Petrol,No,1650.0
CAR_00257,2015,134381.0,3.5,Petrol,Yes,1920.0
CAR_00258,2017,168077.0,3.5,Petrol,No,2400.0
CAR_00259,2020,47015.0,3.5,Petrol,Yes,3530.0
CAR_00260,2018,28494.0,2.5,Petrol,No,3150.0
CAR_00261,2023,171050.0,3.5,Diesel,No,2890.0
CAR_00262,2014,35539.0,1.6,Hybrid,No,2190.0
CAR_00263,2010,195078.0,2.5,Diesel,No,250.0
CAR_00264,2012,169295.0,1.0,Petrol,Yes,100.0
CAR_00265,2019,102671.0,3.5,Hybrid,Yes,3070.0
CAR_00266,2021,196377.0,2.0,Petrol,No,1530.0
CAR_00267,2017,23988.0,3.5,Petrol,Yes,3490.0
CAR_00268,2024,64098.0,1.0,Petrol,Yes,2620.0
CAR_00269,2020,129454.0,1.6,Petrol,No,2010.0
CAR_00270,2015,73251.0,2.5,Hybrid,No,2720.0
CAR_00271,2025,186033.0,3.5,Petrol,No,2710.0
CAR_00272,2025,17797.0,2.0,Diesel,Yes,3260.0
CAR_00273,2017,112135.0,1.0,Petrol,No,1510.0
CAR_00274,2018,120219.0,2.0,Diesel,No,2000.0
CAR_00275,2013,132282.0,3.0,Diesel,Yes,1620.0
CAR_00276,2010,54855.0,1.0,Petrol,No,730.0
CAR_00277,2023,76090.0,3.0,Diesel,No,3790.0
CAR_00278,2010,169518.0,2.0,Diesel,No,230.0
CAR_00279,2019,43014.0,2.5,Diesel,No,3360.0
CAR_00280,2013,166239.0,2.5,Diesel,No,600.0
CAR_00281,2021,114718.0,2.5,Diesel,No,2700.0
CAR_00282,2023,153627.0,3.0,Petrol,No,3060.0
CAR_00283,2016,144153.0,2.5,Diesel,No,1550.0
CAR_00284,2011,45465.0,1.6,Petrol,No,1480.0
CAR_00285,2012,115918.0,1.0,Petrol,No,650.0
CAR_00286,2010,174206.0,1.0,Hybrid,No,100.0
CAR_00287,2014,89263.0,2.0,Petrol,Yes,1190.0
CAR_00288,2010,193485.0,3.5,Petrol,No,720.0
CAR_00289,2017,93182.0,3.0,Petrol,No,2720.0
CAR_00290,2010,32843.0,1.0,Petrol,No,1320.0
CAR_00291,2020,80940.0,3.0,Petrol,No,3230.0
CAR_00292,2010,190582.0,2.0,Hybrid,No,230.0
CAR_00293,2011,67346.0,2.5,Petrol,No,1750.0
CAR_00294,2011,174279.0,3.5,Diesel,No,1330.0
CAR_00295,2021,176844.0,2.0,Petrol,Yes,1620.0
CAR_00296,2015,73286.0,1.6,Diesel,Yes,1280.0
CAR_00297,2016,21235.0,2.5,Hybrid,No,2910.0
CAR_00298,2014,146289.0,2.5,Petrol,Yes,1090.0
CAR_00299,2025,65745.0,2.5,Hybrid,Yes,3410.0
CAR_00300,2010,157670.0,2.0,Hybrid,Yes,480.0
CAR_00301,2010,91318.0,1.6,Diesel,No,700.0
CAR_00302,2012,99627.0,3.5,Petrol,No,1820.0
CAR_00303,2023,156692.0,3.0,Diesel,Yes,2920.0
CAR_00304,2011,79561.0,2.0,Hybrid,No,1450.0
CAR_00305,2014,91410.0,1.0,Petrol,No,1240.0
CAR_00306,2021,78357.0,1.0,Petrol,No,2490.0
CAR_00307,2019,76631.0,2.0,Petrol,No,2870.0
CAR_00308,2025,107560.0,3.0,Petrol,No,3560.0
CAR_00309,2015,162716.0,1.0,Hybrid,No,860.0
CAR_00310,2025,75545.0,3.0,Petrol,Yes,3670.0
CAR_00311,2016,107230.0,2.5,Petrol,No,2560.0
CAR_00312,2013,135792.0,2.0,Diesel,No,690.0
CAR_00313,2016,57541.0,2.5,Petrol,No,2540.0
CAR_00314,2020,59117.0,1.0,Petrol,No,2410.0
CAR_00315,2017,187016.0,3.0,Diesel,No,1660.0
CAR_00316,2020,146089.0,2.5,Petrol,No,2000.0
CAR_00317,2010,117551.0,1.0,Petrol,No,100.0
CAR_00318,2024,131305.0,1.6,Petrol,No,2280.0
CAR_00319,2015,10713.0,2.5,Diesel,No,3070.0
CAR_00320,2017,125530.0,1.6,Hybrid,No,1790.0
CAR_00321,2014,104354.0,1.6,Hybrid,No,1200.0
CAR_00322,2013,111421.0,3.5,Petrol,No,2370.0
CAR_00323,2011,75088.0,1.0,Diesel,Yes,990.0
CAR_00324,2015,20887.0,2.0,Hybrid,No,2800.0
CAR_00325,2015,42701.0,3.0,Petrol,Yes,2610.0
CAR_00326,2020,190395.0,1.0,Hybrid,No,1310.0
CAR_00327,2024,84696.0,3.5,Hybrid,No,4080.0
CAR_00328,2025,96003.0,3.5,Petrol,Yes,3370.0
CAR_00329,2025,15278.0,2.5,Petrol,No,4130.0
CAR_00330,2010,12325.0,3.0,Petrol,No,2370.0
CAR_00331,2018,144850.0,3.5,Petrol,No,2620.0
CAR_00332,2021,109928.0,2.0,Hybrid,No,2700.0
CAR_00333,2020,104198.0,1.0,Hybrid,No,2140.0
CAR_00334,2015,52409.0,2.0,Petrol,Yes,1930.0
CAR_00335,2025,150226.0,2.5,Diesel,Yes,2720.0
CAR_00336,2022,37806.0,1.0,Diesel,No,2800.0
CAR_00337,2012,42037.0,2.5,Petrol,No,2210.0
CAR_00338,2013,94839.0,3.0,Diesel,No,1780.0
CAR_00339,2021,60825.0,3.0,Hybrid,No,3800.0
CAR_00340,2020,53255.0,2.0,Petrol,Yes,2360.0
CAR_00341,2013,130821.0,2.0,Petrol,No,900.0
CAR_00342,2012,131939.0,3.0,Petrol,No,1340.0
CAR_00343,2019,,1.6,Petrol,Yes,1230.0
CAR_00344,2012,86453.0,3.0,Petrol,Yes,1680.0
CAR_00345,2024,19252.0,1.0,Petrol,Yes,2940.0
CAR_00346,2012,58365.0,2.5,Diesel,Yes,1380.0
CAR_00347,2013,196101.0,3.0,Diesel,No,1230.0
CAR_00348,2025,121270.0,3.0,Petrol,No,3550.0
CAR_00349,2016,143399.0,3.5,Petrol,No,2190.0
CAR_00350,2013,6435.0,2.5,Hybrid,No,2910.0
CAR_00351,2018,106050.0,3.5,Hybrid,No,2900.0
CAR_00352,2010,12318.0,2.5,Petrol,No,2340.0
CAR_00353,2017,116000.0,1.0,Petrol,No,1510.0
CAR_00354,2025,184550.0,2.5,Hybrid,Yes,2500.0
CAR_00355,2016,193842.0,2.0,Petrol,Yes,650.0
CAR_00356,2011,110408.0,3.0,Petrol,No,1500.0
CAR_00357,2017,94350.0,2.5,Petrol,Yes,2320.0
CAR_00358,2010,189278.0,1.0,Petrol,No,100.0
CAR_00359,2020,136354.0,2.5,Petrol,Yes,2190.0
CAR_00360,2021,17655.0,3.0,Petrol,No,3990.0
CAR_00361,2018,95816.0,1.6,Diesel,No,2040.0
CAR_00362,2018,51848.0,2.5,Hybrid,Yes,3210.0
CAR_00363,2011,96612.0,2.0,Hybrid,No,1310.0
CAR_00364,2016,93816.0,3.0,Petrol,No,2510.0
CAR_00365,2024,118518.0,1.0,Petrol,No,2830.0
CAR_00366,2023,74570.0,3.0,Diesel,No,3970.0
CAR_00367,2019,37033.0,3.5,Diesel,No,3810.0
CAR_00368,2012,103225.0,1.6,Petrol,No,770.0
CAR_00369,2016,166890.0,1.0,Petrol,No,1160.0
CAR_00370,2021,134482.0,1.6,Petrol,Yes,1760.0
CAR_00371,2025,70982.0,1.6,Petrol,Yes,3060.0
CAR_00372,2019,187427.0,2.0,Petrol,No,1680.0
CAR_00373,2025,182880.0,2.5,Hybrid,No,2830.0
CAR_00374,2018,45823.0,2.0,Petrol,Yes,2480.0
CAR_00375,2013,12686.0,2.0,Hybrid,Yes,2240.0
CAR_00376,2021,149555.0,3.5,Hybrid,No,3030.0
CAR_00377,2010,166384.0,2.0,Petrol,Yes,110.0
CAR_00378,2011,193734.0,1.0,Diesel,No,100.0
CAR_00379,2010,178518.0,2.5,Diesel,Yes,100.0
CAR_00380,2025,122104.0,2.5,Petrol,Yes,3090.0
CAR_00381,2023,108360.0,1.0,Petrol,No,2620.0
CAR_00382,2021,10429.0,2.0,Diesel,No,3400.0
CAR_00383,2014,53098.0,2.0,Diesel,No,1960.0
CAR_00384,2014,94625.0,1.6,Diesel,No,1450.0
CAR_00385,2025,127558.0,1.6,Petrol,Yes,2480.0
CAR_00386,2020,113664.0,3.5,Petrol,No,2720.0
CAR_00387,2016,149814.0,3.0,Petrol,Yes,1520.0
CAR_00388,2018,59555.0,1.6,Petrol,No,2760.0
CAR_00389,2018,115166.0,2.5,Diesel,No,2580.0
CAR_00390,2012,,1.0,Hybrid,No,2120.0
CAR_00391,2012,85665.0,2.0,Diesel,No,1570.0
CAR_00392,2025,151281.0,3.0,Diesel,No,3130.0
CAR_00393,2025,140213.0,1.6,Diesel,No,2700.0
CAR_00394,2012,198175.0,3.0,Diesel,No,940.0
CAR_00395,2013,59189.0,1.0,Diesel,No,1290.0
CAR_00396,2017,102147.0,1.0,Petrol,Yes,880.0
CAR_00397,2015,69258.0,3.0,Hybrid,No,2940.0
CAR_00398,2017,90918.0,3.0,Petrol,No,2550.0
CAR_00399,2010,172105.0,3.5,Petrol,Yes,850.0
CAR_00400,2017,138421.0,3.0,Petrol,No,1850.0
CAR_00401,2013,177076.0,2.0,Petrol,No,550.0
CAR_00402,2020,44685.0,2.5,Diesel,Yes,3080.0
CAR_00403,2010,175305.0,1.6,Petrol,No,170.0
CAR_00404,2017,16654.0,1.6,Hybrid,No,3030.0
CAR_00405,2013,178277.0,1.6,Petrol,No,450.0
CAR_00406,2015,69169.0,3.0,Petrol,No,2600.0
CAR_00407,2017,66345.0,3.0,Petrol,No,2960.0
CAR_00408,2013,104857.0,3.5,Diesel,Yes,1920.0
CAR_00409,2023,188435.0,3.0,Hybrid,Yes,2580.0
CAR_00410,2012,14317.0,3.5,Petrol,No,2680.0
CAR_00411,2025,73685.0,3.5,Petrol,No,4640.0
CAR_00412,2023,172032.0,2.0,Hybrid,No,2390.0
CAR_00413,2018,82231.0,2.0,Petrol,No,2360.0
CAR_00414,2012,43836.0,2.0,Petrol,No,1800.0
CAR_00415,2018,87835.0,2.0,Petrol,Yes,2070.0
CAR_00416,2022,80183.0,1.0,Petrol,No,2210.0
CAR_00417,2011,183506.0,2.0,Petrol,No,220.0
CAR_00418,2025,153577.0,2.0,Petrol,No,2330.0
CAR_00419,2023,103498.0,2.0,Hybrid,No,3020.0
CAR_00420,2011,197732.0,3.5,Diesel,No,950.0
CAR_00421,2011,95729.0,1.6,Hybrid,No,1310.0
CAR_00422,2015,16356.0,1.6,Diesel,No,2370.0
CAR_00423,2012,56143.0,1.6,Diesel,No,1600.0
CAR_00424,2025,90034.0,2.5,Diesel,Yes,2960.0
CAR_00425,2022,35596.0,1.0,Hybrid,No,3180.0
CAR_00426,2018,189775.0,3.5,Petrol,Yes,2000.0
CAR_00427,2013,154536.0,3.0,Petrol,No,1500.0
CAR_00428,2010,57316.0,3.5,Diesel,Yes,1730.0
CAR_00429,2013,120207.0,2.0,Hybrid,Yes,1180.0
CAR_00430,2010,145683.0,1.6,Hybrid,No,820.0
CAR_00431,2023,188549.0,3.5,Diesel,No,2930.0
CAR_00432,2014,176919.0,1.0,Petrol,No,450.0
CAR_00433,2025,105462.0,2.0,Petrol,Yes,2740.0
CAR_00434,2013,156057.0,2.5,Hybrid,Yes,970.0
CAR_00435,2017,114618.0,3.0,Petrol,No,2390.0
CAR_00436,2025,,2.0,Petrol,No,3480.0
CAR_00437,2017,27375.0,3.0,Hybrid,No,3290.0
CAR_00438,2016,29597.0,3.5,Petrol,No,3410.0
CAR_00439,2012,108259.0,2.0,Diesel,No,1350.0
CAR_00440,2010,57428.0,2.5,Diesel,No,1820.0
CAR_00441,2025,9102.0,3.5,Petrol,No,4860.0
