CustomerID,Gender,Age,Annual_Income,Spending_Score
CUST_14042,Female,41,103.0,89.9
CUST_11360,Female,22,88.9,25.4
CUST_02991,Male,50,,22.4
CUST_11595,Male,66,94.9,12.4
CUST_10581,Female,41,99.3,12.8
CUST_14867,Male,69,96.5,87.6
CUST_14424,Male,30,74.5,80.6
CUST_03024,Female,57,14.2,73.1
CUST_00251,Female,56,16.6,23.4
CUST_12146,Female,48,89.4,74.6
CUST_11438,Female,66,90.9,15.3
CUST_07092,Female,47,58.1,54.7
CUST_00932,Female,53,32.8,10.0
CUST_07217,Female,30,56.9,71.3
CUST_03684,Male,50,14.7,76.0
CUST_08368,Male,45,51.9,40.9
CUST_09478,Female,67,87.1,16.7
CUST_11724,Male,26,87.6,29.1
CUST_07417,Female,21,41.2,48.8
CUST_10504,Female,46,82.5,36.2
CUST_10515,Male,47,86.2,13.0
CUST_13509,Female,24,82.2,88.6
CUST_07172,Male,56,42.8,47.5
CUST_03328,Female,45,14.8,92.3
CUST_05023,Female,19,28.6,81.7
CUST_02214,Male,42,25.6,17.1
CUST_02216,Female,40,26.4,16.6
CUST_14795,Female,69,78.4,68.8
CUST_02859,Female,35,28.3,8.6
CUST_04024,Male,43,14.7,80.7
CUST_02760,Male,26,20.5,16.0
CUST_03290,Female,54,22.7,82.0
CUST_10043,Male,33,76.5,18.9
CUST_02626,Female,61,22.2,11.1
CUST_04609,Female,42,17.8,76.7
CUST_13283,Female,31,82.0,70.8
CUST_12472,Female,61,87.0,82.4
CUST_11739,Female,31,80.9,31.0
CUST_06661,Male,56,68.7,50.2
CUST_13939,Male,47,95.3,94.2
CUST_07359,Female,24,52.5,55.3
CUST_03204,Female,20,21.5,81.5
CUST_11752,Male,61,93.6,23.0
CUST_06126,Female,49,78.7,58.6
CUST_14629,Male,26,85.8,80.8
CUST_02678,Male,57,15.2,14.6
CUST_03708,Male,57,31.3,72.7
CUST_09987,Male,57,76.5,25.3
CUST_02805,Male,62,29.0,30.6
CUST_01453,Female,49,22.5,13.2
CUST_14421,Male,64,84.3,83.8
CUST_09999,Male,28,98.7,7.0
CUST_02319,Male,32,12.9,3.0
CUST_13882,Female,54,89.8,93.1
CUST_12608,Female,59,90.2,67.2
CUST_07333,Male,33,56.0,71.8
CUST_03651,Female,35,21.3,82.7
CUST_02288,Male,26,17.9,30.9
CUST_03623,Female,35,24.1,80.1
CUST_13618,Male,45,87.5,87.9
CUST_04878,Male,45,31.2,76.0
CUST_01713,Male,44,,28.3
CUST_14505,Female,22,77.9,85.8
CUST_03589,Female,61,21.7,74.2
CUST_09466,Male,33,79.2,20.6
CUST_05155,Male,19,25.8,75.8
CUST_12594,Male,39,90.6,80.9
CUST_13673,Female,57,82.5,88.3
CUST_03669,Female,52,25.1,89.7
CUST_14324,Male,24,85.9,80.8
CUST_13524,Male,26,73.2,73.1
CUST_08384,Male,38,48.8,58.5
CUST_14210,Female,31,85.2,81.6
CUST_04387,Male,52,36.5,69.0
CUST_09123,Male,64,77.8,13.9
CUST_07894,Female,45,42.9,38.5
CUST_01489,Male,29,28.3,21.2
CUST_01606,Male,57,35.0,29.1
CUST_08594,Male,55,39.6,58.9
CUST_08528,Male,18,62.9,47.0
CUST_01402,Male,51,24.4,9.3
CUST_09387,Female,43,76.4,23.9
CUST_03519,Male,63,6.7,73.7
CUST_03297,Female,66,10.3,90.6
CUST_01006,Female,59,20.4,14.4
CUST_02791,Female,59,34.9,22.3
CUST_02704,Female,28,23.8,26.7
CUST_05613,Male,30,46.7,92.0
CUST_14030,Female,45,98.3,83.8
CUST_05683,Male,32,21.4,93.7
CUST_12287,Male,29,89.2,77.9
CUST_05400,Male,68,20.5,84.1
CUST_02357,Male,44,25.5,19.8
CUST_14680,Female,65,93.0,86.5
CUST_00290,Male,65,27.0,17.5
CUST_12534,Male,51,79.1,92.9
CUST_05908,Female,23,32.1,83.4
CUST_13818,Female,54,76.1,61.2
CUST_06594,Male,40,63.6,49.9
CUST_00088,Male,25,25.1,28.7
CUST_12998,Female,37,89.4,87.7
CUST_02232,Female,57,21.5,13.1
CUST_08273,Female,22,48.8,40.6
CUST_09322,Male,53,81.6,26.2
CUST_07964,Male,23,53.5,43.9
CUST_09037,Male,21,79.7,18.1
CUST_11408,Female,68,86.3,15.1
CUST_08391,Male,30,69.0,56.2
CUST_11749,Male,63,88.0,20.8
CUST_01056,Male,36,25.2,14.0
CUST_00903,Male,69,26.6,23.1
CUST_14220,Male,34,78.5,70.9
CUST_13626,Female,60,92.0,65.2
CUST_02039,Male,68,22.7,18.2
CUST_01611,Female,47,33.2,24.2
CUST_14519,Female,68,76.2,82.9
CUST_00736,Male,58,24.2,20.1
CUST_05963,Female,50,44.5,82.4
CUST_11875,Female,35,91.9,10.3
CUST_07308,Male,19,48.8,65.4
CUST_09052,Male,21,92.6,30.0
CUST_06177,Female,62,64.2,55.7
CUST_13555,Female,53,85.6,77.8
CUST_02864,Female,35,25.8,19.7
CUST_10056,Male,39,81.3,9.6
CUST_01418,Male,19,36.4,29.8
CUST_05914,Male,37,18.5,81.0
CUST_04148,Male,36,40.8,83.0
CUST_13109,Male,58,87.7,76.1
CUST_13685,Female,53,79.6,86.8
CUST_01010,Male,58,25.4,21.7
CUST_08634,Male,56,62.9,52.1
CUST_07588,Female,47,56.3,55.1
CUST_04189,Female,34,31.5,81.8
CUST_14953,Male,25,72.4,78.2
CUST_10528,Female,28,90.5,13.9
CUST_09824,Male,28,91.3,15.5
CUST_05145,Female,28,17.0,68.9
CUST_08937,Female,37,29.7,41.7
CUST_09615,Female,44,73.0,15.7
CUST_08700,Female,47,61.3,48.1
CUST_03800,Female,45,24.0,75.9
CUST_10381,Male,22,93.5,22.4
CUST_03745,Male,20,22.9,73.8
CUST_09073,Male,55,89.6,31.2
CUST_11361,Male,41,91.9,9.1
CUST_08048,Female,48,55.3,74.8
CUST_01385,Male,27,23.8,15.5
CUST_10182,Female,39,79.7,18.7
CUST_04872,Female,22,29.6,85.2
CUST_00735,Male,59,32.2,16.3
CUST_05712,Male,22,15.8,77.0
CUST_05422,Male,62,22.0,78.3
CUST_04012,Male,65,-0.1,78.9
CUST_02858,Male,55,27.7,18.4
CUST_09896,Male,46,93.2,20.5
CUST_04536,Female,58,12.2,91.9
CUST_04580,Male,67,20.7,79.2
CUST_07655,Female,64,54.8,48.0
CUST_05998,Male,43,24.4,86.7
CUST_00884,Female,51,25.7,23.3
CUST_09026,Male,39,95.9,23.4
CUST_03233,Female,48,18.2,76.1
CUST_05601,Female,46,19.7,79.0
CUST_02417,Male,33,13.5,20.6
CUST_05358,Female,46,25.4,86.0
CUST_11009,Male,48,73.3,20.7
CUST_04948,Male,18,21.5,77.8
CUST_05933,Female,59,24.5,62.2
CUST_02919,Female,38,17.6,16.5
CUST_10838,Male,44,89.9,10.5
CUST_05598,Female,45,9.7,94.2
CUST_03698,Female,61,36.1,81.1
CUST_12167,Female,26,81.5,87.4
CUST_09955,Male,61,80.4,5.3
CUST_14084,Male,30,99.5,79.1
CUST_06880,Male,50,74.0,53.4
CUST_09158,Female,45,93.2,38.5
CUST_10216,Female,68,75.9,4.9
CUST_04401,Male,23,29.0,85.1
CUST_10804,Male,26,86.4,34.8
CUST_05931,Female,37,30.0,93.1
CUST_01522,Female,58,29.3,7.7
CUST_11306,Male,20,80.6,20.2
CUST_02562,Female,56,29.1,15.9
CUST_02128,Male,62,20.0,28.5
CUST_01086,Female,34,23.1,20.9
CUST_01962,Male,23,23.4,18.0
CUST_05620,Male,42,23.3,89.1
CUST_14990,Male,55,71.8,76.9
CUST_12837,Male,69,75.9,94.7
CUST_03065,Female,36,27.4,75.6
CUST_12722,Female,69,89.0,86.8
CUST_13286,Female,33,92.8,91.1
CUST_03615,Male,58,16.7,93.5
CUST_11373,Female,20,92.0,9.0
CUST_12363,Female,55,75.8,77.9
CUST_08290,Male,37,55.6,55.5
CUST_09068,Male,58,79.3,20.6
CUST_01346,Female,39,24.8,19.2
CUST_08769,Female,49,59.6,46.1
CUST_11193,Female,27,70.8,14.2
CUST_03570,Female,46,-0.8,83.2
CUST_01121,Male,34,36.9,10.6
CUST_01533,Female,57,35.5,20.1
CUST_02943,Female,54,20.6,15.0
CUST_11828,Female,65,81.0,21.1
CUST_09360,Female,45,88.9,16.2
CUST_07012,Male,67,36.7,66.2
CUST_06888,Male,40,50.9,44.6
CUST_11336,Female,37,62.2,11.5
CUST_12464,Female,23,84.6,83.4
CUST_14942,Male,22,88.2,75.0
CUST_04245,Female,43,35.1,72.2
CUST_01632,Male,27,29.0,31.6
CUST_04062,Female,54,22.3,87.1
CUST_09375,Female,21,79.3,19.1
CUST_13009,Male,39,89.7,84.1
CUST_11887,Male,36,78.9,28.5
CUST_12459,Male,60,81.4,81.2
CUST_05767,Female,66,32.8,91.2
CUST_03014,Female,27,9.3,75.3
CUST_10471,Female,56,82.4,9.5
CUST_03728,Female,34,17.7,86.1
CUST_13317,Male,52,88.9,73.2
CUST_03852,Female,69,18.9,77.6
CUST_06161,Female,25,35.2,45.9
CUST_00099,Female,56,25.3,13.1
CUST_12061,Male,25,77.8,78.5
CUST_08122,Male,69,50.5,58.5
CUST_14315,Female,63,90.8,72.6
CUST_11820,Female,59,87.2,29.5
CUST_08373,Male,47,66.9,67.6
CUST_01035,Female,54,30.8,27.4
CUST_14617,Female,53,82.1,87.3
CUST_01744,Female,39,19.5,10.4
CUST_04896,Male,44,26.4,72.4
CUST_10475,Male,41,100.3,20.1
CUST_04010,Female,68,5.9,75.5
CUST_03919,Male,64,22.8,77.1
CUST_01586,Male,49,17.1,24.7
CUST_08900,Male,18,66.7,50.6
CUST_04665,Male,24,36.3,77.5
CUST_09604,Female,51,82.0,28.6
CUST_06550,Female,69,57.6,35.5
CUST_00286,Male,41,27.0,18.7
CUST_13775,Male,22,75.9,76.8
CUST_13463,Male,46,74.4,73.5
CUST_14749,Male,36,93.9,94.5
CUST_10949,Female,19,97.5,18.7
CUST_13324,Female,51,78.4,90.3
CUST_14438,Male,41,86.3,72.9
CUST_01623,Female,30,27.6,15.6
CUST_13413,Female,69,88.6,89.2
CUST_00351,Male,43,20.8,11.5
CUST_14353,Female,45,96.2,85.7
CUST_03616,Female,32,27.0,85.8
CUST_00566,Female,27,34.7,22.7
CUST_00914,Male,44,24.4,20.1
CUST_04549,Male,55,25.9,76.0
CUST_05781,Female,24,15.5,92.8
CUST_02957,Male,28,23.6,14.6
CUST_09224,Male,21,91.3,14.0
CUST_07834,Female,65,66.9,65.3
CUST_11001,Female,67,94.2,20.5
CUST_13958,Female,47,92.8,85.4
CUST_07743,Male,46,39.6,78.7
CUST_01579,Male,62,33.0,21.9
CUST_13887,Male,69,86.3,76.2
CUST_01398,Female,52,28.4,9.3
CUST_01530,Male,41,26.9,18.0
CUST_13880,Male,52,74.5,86.9
CUST_07793,Female,25,51.9,55.8
CUST_05350,Male,49,20.5,84.9
CUST_01624,Female,62,26.4,8.9
CUST_02525,Male,54,29.4,22.1
CUST_02227,Male,30,32.6,21.7
CUST_00487,Female,56,22.3,8.7
CUST_03289,Male,27,27.0,65.7
CUST_12692,Female,25,89.9,72.5
CUST_00379,Female,68,19.8,24.2
CUST_11275,Female,27,82.9,14.4
CUST_02968,Male,25,32.4,10.5
CUST_05040,Male,21,39.8,69.5
CUST_14593,Female,20,104.2,86.6
CUST_07305,Female,30,77.1,51.3
CUST_00357,Female,53,24.8,26.6
CUST_10157,Male,51,89.8,10.2
CUST_08299,Female,19,54.0,43.1
CUST_10875,Female,41,83.4,16.9
CUST_00047,Female,61,22.6,11.2
CUST_06312,Female,35,31.6,54.3
CUST_11656,Female,58,77.6,9.4
CUST_13567,Female,63,78.3,86.0
CUST_00708,Female,52,25.3,21.6
CUST_06298,Female,47,55.2,57.5
CUST_03954,Female,58,31.2,86.3
CUST_00836,Female,33,22.6,14.5
CUST_11544,Female,55,90.7,12.1
CUST_02342,Male,44,18.8,24.0
CUST_05729,Male,19,19.1,76.9
CUST_12130,Female,57,77.7,88.8
CUST_12436,Male,28,71.8,78.1
CUST_07541,Male,65,55.4,51.4
CUST_07403,Male,41,55.7,43.7
CUST_06338,Female,37,61.5,54.9
CUST_04960,Female,33,16.8,81.8
CUST_12360,Female,18,72.2,78.5
CUST_13619,Female,46,86.1,67.4
CUST_14570,Male,66,97.3,81.5
CUST_10368,Female,28,92.0,10.1
CUST_12587,Female,25,82.3,61.6
CUST_04391,Male,20,34.5,70.7
CUST_08132,Female,31,60.7,59.7
CUST_13436,Female,19,76.6,73.6
CUST_04900,Male,20,32.5,84.0
CUST_08607,Male,19,79.8,61.9
CUST_06081,Male,65,57.4,50.6
CUST_07013,Female,45,51.6,42.3
CUST_04058,Female,24,16.9,82.7
CUST_06769,Female,37,44.9,46.3
CUST_04921,Female,30,20.6,70.0
CUST_10990,Female,56,87.2,20.2
CUST_11492,Female,50,88.0,14.3
CUST_08683,Male,54,51.2,58.1
CUST_04315,Female,31,14.4,77.7
CUST_04743,Female,50,23.7,89.6
CUST_13929,Male,61,89.5,88.7
CUST_03838,Female,44,23.3,51.2
CUST_01254,Male,22,16.9,12.1
CUST_04755,Male,21,5.9,71.8
CUST_01475,Male,24,32.2,24.7
CUST_14382,Female,18,77.3,76.9
CUST_12314,Male,46,89.9,76.9
CUST_13924,Female,18,75.5,81.7
CUST_04866,Female,40,35.2,70.0
CUST_11156,Male,66,75.8,14.2
CUST_14342,Female,55,86.4,78.4
CUST_11094,Male,33,92.9,12.5
CUST_03938,Male,28,20.3,82.6
CUST_10663,Male,24,82.3,9.8
CUST_00304,Female,59,14.3,29.0
CUST_02323,Male,46,16.6,19.8
CUST_08993,Male,49,66.1,50.4
CUST_10915,Male,32,103.4,24.3
CUST_14412,Male,55,81.0,84.1
CUST_06486,Female,59,52.7,52.3
CUST_14472,Male,33,80.9,80.5
CUST_13217,Male,69,80.8,71.1
CUST_11792,Male,62,90.3,25.6
CUST_06259,Female,55,63.9,49.1
CUST_01739,Male,68,31.9,28.3
CUST_13156,Female,64,80.1,77.7
CUST_12669,Male,67,89.0,97.6
CUST_06580,Female,64,54.2,46.3
CUST_13993,Female,55,87.1,84.5
CUST_03274,Female,47,28.1,84.7
CUST_10845,Female,19,92.9,27.8
CUST_02167,Male,62,27.8,16.1
CUST_01393,Female,50,20.4,12.2
CUST_05524,Female,20,23.5,97.4
CUST_02543,Male,53,24.9,23.0
CUST_12801,Male,55,89.3,88.8
CUST_07520,Female,24,51.0,36.9
CUST_06006,Female,30,48.5,58.5
CUST_01270,Female,45,20.7,12.4
CUST_02140,Male,19,37.6,10.9
CUST_13549,Male,43,60.6,77.7
CUST_06803,Male,43,62.0,61.6
CUST_13561,Female,25,85.0,80.1
CUST_06264,Female,28,62.5,50.2
CUST_14711,Male,61,87.4,86.8
CUST_06786,Female,68,55.8,40.5
CUST_09942,Female,69,82.6,12.1
CUST_06904,Female,20,70.9,59.6
CUST_11709,Female,33,82.2,15.7
CUST_11274,Female,69,77.7,23.2
CUST_08934,Male,68,42.5,52.1
CUST_14784,Male,59,80.1,87.3
CUST_08598,Female,66,66.6,66.1
CUST_14468,Female,36,81.1,80.0
CUST_07944,Male,38,66.1,66.7
CUST_02390,Male,55,26.7,21.7
CUST_09483,Female,55,91.3,20.2
CUST_07063,Female,63,56.5,36.4
CUST_09559,Male,27,75.5,19.5
CUST_13918,Male,39,85.4,58.6
CUST_09931,Female,61,90.8,9.3
CUST_07042,Male,22,49.1,44.9
CUST_12520,Female,40,88.2,75.2
CUST_12404,Male,19,95.5,78.3
CUST_08215,Male,46,59.8,64.8
CUST_06051,Female,21,53.5,61.1
CUST_06977,Female,28,49.2,52.5
CUST_13301,Male,69,77.1,81.8
CUST_06270,Female,63,46.4,42.8
CUST_07453,Male,52,60.1,57.9
CUST_07271,Female,61,55.4,52.1
CUST_12368,Male,38,75.6,81.2
CUST_04123,Male,55,25.2,76.8
CUST_01139,Male,61,29.0,22.8
CUST_05292,Female,44,18.3,69.9
CUST_07747,Female,42,44.3,57.9
CUST_12714,Female,51,83.7,86.1
CUST_10263,Female,58,,33.8
CUST_11273,Female,60,87.2,22.6
CUST_05528,Female,33,18.3,74.6
CUST_00828,Female,69,26.0,27.9
CUST_14682,Male,41,90.6,75.1
CUST_03753,Male,68,26.6,73.8
CUST_07640,Male,39,57.8,40.4
CUST_12036,Female,65,72.9,71.1
CUST_12214,Male,59,68.3,78.6
CUST_01261,Female,52,27.2,18.1
CUST_04441,Male,19,32.8,76.9
CUST_08581,Female,51,57.0,41.5
CUST_07247,Male,31,63.4,27.9
CUST_11623,Male,35,84.1,17.5
CUST_09820,Female,26,85.3,4.3
CUST_11513,Male,61,75.2,23.3
CUST_14427,Male,36,97.1,80.0
CUST_02589,Female,38,24.3,20.1
CUST_14004,Female,20,95.0,94.4
CUST_07324,Female,30,79.2,49.7
CUST_09403,Male,45,98.0,28.9
CUST_11843,Male,67,98.3,25.8
CUST_05406,Male,37,24.2,81.7
CUST_02802,Male,57,27.5,21.3
CUST_06423,Male,38,73.1,38.3
CUST_05794,Female,34,22.5,72.3
CUST_02684,Female,57,22.1,29.5
CUST_09902,Male,53,92.0,17.4
CUST_08817,Female,44,53.0,53.1
CUST_03307,Male,56,31.1,80.0
CUST_13898,Male,59,93.1,82.8
CUST_04862,Female,65,19.0,77.6
CUST_09737,Female,45,83.6,19.7
CUST_00476,Female,60,17.5,28.7
CUST_11396,Male,36,76.3,34.5
CUST_04561,Female,66,30.5,80.1
CUST_08196,Female,68,70.2,50.1
CUST_02009,Female,58,21.9,19.5
CUST_04115,Female,47,25.1,65.2
CUST_09594,Male,29,80.9,35.8
CUST_08788,Male,58,50.1,53.0
CUST_04706,Male,38,29.5,76.8
CUST_00339,Female,46,30.6,27.6
CUST_03804,Female,64,22.0,79.6
CUST_07514,Male,22,52.9,55.5
CUST_01683,Female,40,21.8,21.1
CUST_04984,Male,35,25.5,74.2
CUST_00794,Male,64,20.0,20.5
CUST_10041,Male,61,61.8,29.5
CUST_14442,Female,64,84.0,70.2
CUST_10309,Female,42,68.2,25.2
CUST_01034,Female,69,33.5,25.6
CUST_01454,Female,36,22.3,27.5
CUST_11146,Male,24,73.3,17.8
CUST_01534,Female,27,26.4,24.2
CUST_08929,Female,63,63.6,55.4
CUST_09353,Female,20,102.7,6.5
CUST_07484,Female,37,58.1,56.5
CUST_10327,Female,43,85.7,7.1
CUST_05049,Female,61,21.8,75.3
CUST_03098,Male,52,13.6,76.2
CUST_00168,Female,50,20.0,18.1
CUST_09841,Male,26,79.4,32.0
CUST_01493,Female,49,24.3,20.6
CUST_07058,Female,41,60.4,66.0
CUST_09089,Male,29,92.4,30.8
CUST_02966,Female,39,25.6,6.1
CUST_00434,Male,61,29.0,32.1
CUST_13844,Female,50,84.6,68.7
CUST_13997,Male,22,86.0,80.9
CUST_10840,Male,61,69.7,13.6
CUST_04313,Female,41,22.3,87.7
CUST_11814,Female,29,79.1,24.4
CUST_13441,Female,31,78.4,68.3
CUST_04077,Male,31,32.4,76.9
CUST_14562,Male,31,87.7,77.2
CUST_13393,Male,29,81.9,86.0
CUST_03780,Male,54,12.7,71.0
CUST_05386,Female,43,32.0,90.8
CUST_07534,Female,44,51.3,45.2
CUST_00925,Male,48,21.1,30.7
CUST_09102,Female,66,81.2,9.0
CUST_07336,Male,69,60.0,41.7
CUST_13572,Male,21,88.9,82.5
CUST_11097,Male,42,80.7,16.9
CUST_09100,Male,66,92.9,20.1
CUST_01107,Male,29,22.2,21.6
CUST_01053,Female,31,19.6,23.8
CUST_08606,Male,33,65.4,56.5
CUST_04215,Female,66,18.9,79.4
CUST_13829,Female,25,100.5,60.9
CUST_10896,Male,45,82.6,10.5
CUST_01022,Female,69,20.1,26.7
CUST_14701,Male,21,,64.4
CUST_10673,Female,27,82.5,20.7
CUST_06669,Female,60,47.2,45.1
CUST_05025,Female,30,10.8,85.1
CUST_08603,Female,48,71.4,58.2
CUST_06077,Male,52,62.0,40.5
CUST_02512,Female,37,,12.6
CUST_04244,Male,32,29.6,74.2
CUST_06421,Female,54,57.8,48.2
CUST_02201,Female,53,19.7,22.1
CUST_07821,Male,44,49.5,57.8
CUST_14006,Male,22,83.8,62.6
CUST_07978,Male,65,49.9,58.3
CUST_04513,Male,22,21.5,88.6
CUST_04672,Female,23,25.2,78.7
CUST_12527,Female,51,86.7,77.5
CUST_09750,Male,60,87.7,20.8
CUST_00468,Female,28,18.9,24.3
CUST_03369,Male,67,48.5,71.8
CUST_13152,Male,37,85.2,86.6
CUST_11103,Female,24,90.9,10.8
CUST_13778,Male,41,89.7,86.4
CUST_13408,Male,48,73.8,92.3
CUST_04978,Male,54,28.1,71.7
CUST_13137,Female,47,75.0,68.5
CUST_06282,Female,53,44.0,45.7
CUST_06597,Male,19,45.0,35.2
CUST_03479,Female,42,46.3,80.8
CUST_12879,Female,62,75.2,82.2
CUST_05792,Male,39,29.4,88.7
CUST_14074,Female,22,72.4,78.9
CUST_13215,Female,32,98.2,66.8
CUST_06725,Male,25,63.2,51.4
CUST_05195,Female,35,5.1,89.7
CUST_00518,Female,67,17.6,11.2
CUST_00439,Male,45,24.9,27.1
CUST_02861,Female,63,20.4,16.4
CUST_11144,Male,61,87.1,38.9
CUST_11285,Female,46,96.2,27.6
CUST_12572,Female,44,76.7,80.3
CUST_14381,Male,60,84.5,76.3
CUST_09938,Male,56,79.7,26.5
CUST_14481,Female,51,80.8,76.9
CUST_08382,Female,42,54.2,51.9
CUST_10109,Male,39,84.5,29.4
CUST_02380,Female,21,17.4,24.0
CUST_00027,Female,57,31.2,25.6
CUST_11626,Male,38,95.7,19.8
CUST_06955,Female,29,46.4,64.2
CUST_00902,Male,61,14.2,10.5
CUST_05035,Male,42,21.5,71.1
CUST_04851,Male,62,29.7,80.1
CUST_13789,Male,52,80.4,98.1
CUST_02608,Male,26,26.7,17.0
CUST_11965,Male,51,87.5,21.2
CUST_09232,Male,41,96.6,17.8
CUST_12193,Female,49,82.0,89.0
CUST_02531,Female,68,23.0,12.0
CUST_03702,Male,43,18.8,93.3
CUST_12848,Male,32,80.5,75.8
CUST_02109,Male,34,26.9,9.2
CUST_11413,Male,32,82.9,10.9
CUST_06220,Male,64,57.9,43.5
CUST_02344,Male,25,16.3,17.1
CUST_14665,Female,34,89.4,73.6
CUST_07883,Female,66,54.8,41.1
CUST_11318,Female,54,80.6,24.9
CUST_08085,Female,39,44.0,55.1
CUST_02412,Male,39,24.6,21.4
CUST_12926,Female,46,80.9,85.1
CUST_01061,Male,29,24.9,18.4
CUST_06586,Male,44,49.1,55.1
CUST_02715,Male,34,20.9,16.3
CUST_14874,Female,69,86.0,81.8
CUST_07095,Female,61,69.2,51.9
CUST_05384,Male,27,31.4,96.1
CUST_12132,Female,62,89.3,75.9
CUST_03508,Female,47,24.7,73.2
CUST_11988,Male,52,85.6,28.8
CUST_05337,Male,53,13.2,75.9
CUST_09295,Male,42,102.7,4.7
CUST_05221,Female,64,24.3,75.3
CUST_07990,Female,30,35.0,45.8
CUST_06790,Male,21,55.6,40.7
CUST_03143,Male,31,16.7,85.6
CUST_14719,Male,40,86.9,85.9
CUST_05465,Male,57,21.7,94.8
CUST_03860,Female,48,23.6,91.5
CUST_05453,Female,44,18.3,82.7
CUST_08957,Female,55,48.3,59.1
CUST_14157,Male,64,91.3,93.4
CUST_02012,Female,28,20.9,18.1
CUST_05863,Male,18,29.2,90.8
CUST_06842,Male,62,62.0,64.7
CUST_00123,Female,26,22.2,16.1
CUST_11562,Female,38,91.2,3.6
CUST_10657,Male,40,101.0,23.4
CUST_02932,Male,68,21.6,16.4
CUST_12406,Male,57,72.7,79.9
CUST_11262,Male,34,82.6,38.8
CUST_08124,Male,18,59.6,60.5
CUST_00273,Female,68,28.5,18.8
CUST_03562,Female,53,35.7,64.5
CUST_03038,Female,21,14.8,72.8
CUST_03647,Male,31,26.0,76.6
CUST_02629,Male,40,15.2,32.1
CUST_09292,Male,31,95.7,11.1
CUST_05980,Male,61,25.1,80.3
CUST_04817,Female,30,24.5,68.7
CUST_02609,Male,54,21.9,12.8
CUST_11957,Male,58,79.4,11.6
CUST_04850,Male,25,23.0,83.6
CUST_03646,Female,57,20.0,72.2
CUST_14698,Male,48,86.1,74.4
CUST_04630,Female,46,9.6,91.9
CUST_08225,Female,26,62.6,69.2
CUST_14040,Female,52,83.4,83.4
CUST_10306,Male,46,80.4,16.2
CUST_10728,Female,45,77.2,22.7
CUST_10734,Female,47,87.2,12.1
CUST_05576,Male,32,15.2,60.2
CUST_11257,Male,48,89.4,11.2
CUST_06127,Female,31,38.2,42.9
CUST_02753,Female,38,18.7,4.8
CUST_00019,Female,21,17.0,21.2
CUST_09674,Male,45,82.4,23.2
CUST_13917,Male,49,81.5,92.1
CUST_08679,Male,68,62.1,39.4
CUST_13866,Female,43,86.6,86.3
CUST_02360,Female,54,31.0,23.1
CUST_06143,Female,24,57.5,35.8
CUST_07911,Male,18,64.3,36.2
CUST_11979,Male,60,90.5,28.7
CUST_14998,Male,24,96.6,76.0
CUST_01803,Male,41,20.3,26.5
CUST_08287,Female,61,40.1,52.0
CUST_00907,Female,19,23.4,14.7
CUST_09238,Male,18,90.5,24.4
CUST_12791,Female,46,98.5,78.8
CUST_10549,Male,28,72.3,37.1
CUST_11298,Male,51,89.7,15.9
CUST_02085,Female,22,15.7,19.0
CUST_11644,Female,31,87.4,28.6
CUST_09267,Male,48,84.2,23.2
CUST_02215,Female,55,14.3,6.6
CUST_01575,Male,64,30.1,17.8
CUST_09317,Female,55,75.4,15.9
